complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_CMPK1_pc	cplx_MONOMER_CMPK1	protein_CMPK1_pc	CYTK1;NDPK1;NDPK3;UMPK1;CYTK13;CYTK2;CYTK8;UMPK5;5FLUMPK	CMPK1	1			protein_CMPK1_pc(1)	pc	22219.126000000004
cplx_MONOMER_CMPK2_pc	cplx_MONOMER_CMPK2	protein_CMPK2_pc	CYTK1;NDPK1;NDPK3;UMPK1;CYTK13;CYTK2;CYTK8;UMPK5	CMPK2	1			protein_CMPK2_pc(1)	pc	49445.363000000194
cplx_HOMODIMER_CNDP2_pc	cplx_HOMODIMER_CNDP2	protein_CNDP2_pc	2ABUTGLYDP;AMPTASECG;FLDPP;FYDPP;GFDPP;GGDPP;GLDPP;GWDPP;KLDPP;LADPP;LGDPP;LLDPP;PFDPP;PLDPP;VLDPP;LLACPHEHYD	CNDP2	2			protein_CNDP2_pc(2)	pc	105733.82600000034
cplx_MONOMER_CNP_pc	cplx_MONOMER_CNP	protein_CNP_pc	23CN3PA;23CN3PC;23CN3PG;23CN3PU	CNP	1			protein_CNP_pc(1)	pc	47590.28600000018
cplx_MONOMER_COASY_pc	cplx_MONOMER_COASY	protein_COASY_pc	DPCOAK;PTPAT	COASY	1			protein_COASY_pc(1)	pc	62324.188000000344
cplx_MONOMER_COMT_pc	cplx_MONOMER_COMT	protein_COMT_pc	LDPAMMT;SALMCOM;SALMCOM2;2OHE1MT;2OHE1MT2;2OHE2MT;2OHE2MT2;4OHE1MT;4OHE2MT;34DHPHAMT;LDOPAMT;34DHOXMANDMT	COMT	1		ASSUMED MONOMER	protein_COMT_pc(1)	pc	30026.714000000018
cplx_HETERODIMER_SLC40A1_CP_pc	cplx_HETERODIMER_SLC40A1_CP	protein_CP_pc;protein_SLC40A1_pc	FEROXe	CP;SLC40A1	1;1			protein_CP_pc(1);protein_SLC40A1_pc(1)	pc	184711.3160000002
cplx_MONOMER_CPPED1_pc	cplx_MONOMER_CPPED1	protein_CPPED1_pc	PROTSPP;PROTTPP	CPPED1	1		ASSUMED MONOMER	protein_CPPED1_pc(1)	pc	35539.89100000003
cplx_HOMOHEXAMER_CPT1A_pc	cplx_HOMOHEXAMER_CPT1A	protein_CPT1A_pc	CRNAT_10_0;CRNAT_10_2E;CRNAT_10_2E6Z;CRNAT_10_3OH_S;CRNAT_10_DC;CRNAT_11_0;CRNAT_12_0;CRNAT_12_2E;CRNAT_12_3OH_S;CRNAT_12_DC;CRNAT_13_0;CRNAT_14_0;CRNAT_14_2E;CRNAT_14_3OH_S;CRNAT_14_5E8Z;CRNAT_14_5E8Z3OH_S;CRNAT_14_5Z;CRNAT_14_7Z;CRNAT_14_7Z3OH_S;CRNAT_14_9Z;CRNAT_15_0;CRNAT_16_0;CRNAT_16_2E;CRNAT_16_3OH_S;CRNAT_16_7E10Z3OH_S;CRNAT_16_7Z;CRNAT_16_9Z;CRNAT_16_9Z3OH_S;CRNAT_16_DC;CRNAT_17_0;CRNAT_17_10Z;CRNAT_17_9Z;CRNAT_18_0;CRNAT_18_11Z;CRNAT_18_13Z;CRNAT_18_2E;CRNAT_18_3OH_S;CRNAT_18_6Z9Z;CRNAT_18_6Z9Z12Z;CRNAT_18_6Z9Z12Z15Z;CRNAT_18_7Z;CRNAT_18_9E;CRNAT_18_9Z;CRNAT_18_9Z12Z;CRNAT_18_9Z12Z15Z;CRNAT_18_9Z12Z3OH_S;CRNAT_18_9Z3OH_S;CRNAT_19_0;CRNAT_20_0;CRNAT_20_11Z;CRNAT_20_11Z14Z;CRNAT_20_11Z14Z17Z;CRNAT_20_13Z;CRNAT_20_5Z8Z11Z;CRNAT_20_5Z8Z11Z14Z;CRNAT_20_5Z8Z11Z14Z17Z;CRNAT_20_8Z11Z;CRNAT_20_8Z11Z14Z;CRNAT_20_8Z11Z14Z17Z;CRNAT_20_9Z;CRNAT_21_0;CRNAT_22_0;CRNAT_22_10Z13Z16Z;CRNAT_22_10Z13Z16Z19Z;CRNAT_22_11Z;CRNAT_22_13Z;CRNAT_22_13Z16Z;CRNAT_22_13Z16Z19Z;CRNAT_22_4Z7Z10Z13Z16Z;CRNAT_22_4Z7Z10Z13Z16Z19Z;CRNAT_22_7Z10Z13Z16Z;CRNAT_22_7Z10Z13Z16Z19Z;CRNAT_6_0;CRNAT_6_2E;CRNAT_6_3OH_S;CRNAT_6_DC;CRNAT_7_0;CRNAT_7_3OH_S;CRNAT_7_DC;CRNAT_8_0;CRNAT_8_2E;CRNAT_8_3OH_S;CRNAT_8_DC;CRNAT_9_0;CRNAT_9_3OH_S;PROTKSUCT	CPT1A	6			protein_CPT1A_pc(6)	pc	530267.7119999995
cplx_HOMOTRIMER_CPT1A_pc	cplx_HOMOTRIMER_CPT1A	protein_CPT1A_pc	CRNAT_10_0;CRNAT_10_2E;CRNAT_10_2E6Z;CRNAT_10_3OH_S;CRNAT_10_DC;CRNAT_11_0;CRNAT_12_0;CRNAT_12_2E;CRNAT_12_3OH_S;CRNAT_12_DC;CRNAT_13_0;CRNAT_14_0;CRNAT_14_2E;CRNAT_14_3OH_S;CRNAT_14_5E8Z;CRNAT_14_5E8Z3OH_S;CRNAT_14_5Z;CRNAT_14_7Z;CRNAT_14_7Z3OH_S;CRNAT_14_9Z;CRNAT_15_0;CRNAT_16_0;CRNAT_16_2E;CRNAT_16_3OH_S;CRNAT_16_7E10Z3OH_S;CRNAT_16_7Z;CRNAT_16_9Z;CRNAT_16_9Z3OH_S;CRNAT_16_DC;CRNAT_17_0;CRNAT_17_10Z;CRNAT_17_9Z;CRNAT_18_0;CRNAT_18_11Z;CRNAT_18_13Z;CRNAT_18_2E;CRNAT_18_3OH_S;CRNAT_18_6Z9Z;CRNAT_18_6Z9Z12Z;CRNAT_18_6Z9Z12Z15Z;CRNAT_18_7Z;CRNAT_18_9E;CRNAT_18_9Z;CRNAT_18_9Z12Z;CRNAT_18_9Z12Z15Z;CRNAT_18_9Z12Z3OH_S;CRNAT_18_9Z3OH_S;CRNAT_19_0;CRNAT_20_0;CRNAT_20_11Z;CRNAT_20_11Z14Z;CRNAT_20_11Z14Z17Z;CRNAT_20_13Z;CRNAT_20_5Z8Z11Z;CRNAT_20_5Z8Z11Z14Z;CRNAT_20_5Z8Z11Z14Z17Z;CRNAT_20_8Z11Z;CRNAT_20_8Z11Z14Z;CRNAT_20_8Z11Z14Z17Z;CRNAT_20_9Z;CRNAT_21_0;CRNAT_22_0;CRNAT_22_10Z13Z16Z;CRNAT_22_10Z13Z16Z19Z;CRNAT_22_11Z;CRNAT_22_13Z;CRNAT_22_13Z16Z;CRNAT_22_13Z16Z19Z;CRNAT_22_4Z7Z10Z13Z16Z;CRNAT_22_4Z7Z10Z13Z16Z19Z;CRNAT_22_7Z10Z13Z16Z;CRNAT_22_7Z10Z13Z16Z19Z;CRNAT_6_0;CRNAT_6_2E;CRNAT_6_3OH_S;CRNAT_6_DC;CRNAT_7_0;CRNAT_7_3OH_S;CRNAT_7_DC;CRNAT_8_0;CRNAT_8_2E;CRNAT_8_3OH_S;CRNAT_8_DC;CRNAT_9_0;CRNAT_9_3OH_S;PROTKSUCT	CPT1A	3			protein_CPT1A_pc(3)	pc	265133.85599999974
cplx_HOMODIMER_CRPPA_pc	cplx_HOMODIMER_CRPPA	protein_CRPPA_pc	R5PCT;RBTCT;RU5PCT	CRPPA	2			protein_CRPPA_pc(2)	pc	99726.2020000004
cplx_HOMODIMER_CRYL1_pc	cplx_HOMODIMER_CRYL1	protein_CRYL1_pc	GULN3D	CRYL1	2			protein_CRYL1_pc(2)	pc	70825.75800000007
cplx_MONOMER_CSNK1A1_pc	cplx_MONOMER_CSNK1A1	protein_CSNK1A1_pc	PROTSK;PROTTK	CSNK1A1	1		ASSUMED MONOMER	protein_CSNK1A1_pc(1)	pc	38932.67400000003
cplx_MONOMER_CSNK1G1_pc	cplx_MONOMER_CSNK1G1	protein_CSNK1G1_pc	PROTSK;PROTTK	CSNK1G1	1			protein_CSNK1G1_pc(1)	pc	48523.00300000006
cplx_MONOMER_CSNK1G2_pc	cplx_MONOMER_CSNK1G2	protein_CSNK1G2_pc	PROTSK;PROTTK	CSNK1G2	1			protein_CSNK1G2_pc(1)	pc	47468.94200000006
cplx_MONOMER_CSNK1G3_pc	cplx_MONOMER_CSNK1G3	protein_CSNK1G3_pc	PROTSK;PROTTK	CSNK1G3	1			protein_CSNK1G3_pc(1)	pc	51403.20300000012
cplx_HETEROTETRAMER_CSNK2A1_CSNK2A2_CSNK2B_pc	cplx_HETEROTETRAMER_CSNK2A1_CSNK2A2_CSNK2B	protein_CSNK2A1_pc;protein_CSNK2A2_pc;protein_CSNK2B_pc	PROTSK;PROTTK	CSNK2A1;CSNK2A2;CSNK2B	1;1;2			protein_CSNK2A1_pc(1);protein_CSNK2A2_pc(1);protein_CSNK2B_pc(2)	pc	136226.3620000002
cplx_HETEROTETRAMER_CSNK2A1_CSNK2B_pc	cplx_HETEROTETRAMER_CSNK2A1_CSNK2B	protein_CSNK2A1_pc;protein_CSNK2B_pc	PROTSK;PROTTK	CSNK2A1;CSNK2B	2;2			protein_CSNK2A1_pc(2);protein_CSNK2B_pc(2)	pc	140152.66000000027
cplx_HETEROTETRAMER_CSNK2A2_CSNK2B_pc	cplx_HETEROTETRAMER_CSNK2A2_CSNK2B	protein_CSNK2A2_pc;protein_CSNK2B_pc	PROTSK;PROTTK	CSNK2A2;CSNK2B	2;2			protein_CSNK2A2_pc(2);protein_CSNK2B_pc(2)	pc	132300.06400000016
cplx_HOMOTETRAMER_CTH_pc	cplx_HOMOTETRAMER_CTH	protein_CTH_pc	CYSLNET;CYSTL1;SELCYSTL1;SELMETHL1;CYSIL2;CYSL2;CYSTL2	CTH	4			protein_CTH_pc(4)	pc	178002.2960000005
cplx_HOMOTETRAMER_CTPS1_pc	cplx_HOMOTETRAMER_CTPS1	protein_CTPS1_pc	GLUN;CTPS1;CTPS2	CTPS1	4			protein_CTPS1_pc(4)	pc	266718.7360000011
cplx_HOMOTETRAMER_CTPS2_pc	cplx_HOMOTETRAMER_CTPS2	protein_CTPS2_pc	GLUN;CTPS1;CTPS2	CTPS2	4			protein_CTPS2_pc(4)	pc	262691.80400000117
cplx_HETEROTETRAMER_RBX1_CUL1_SKP1_FBXL20_pc	cplx_HETEROTETRAMER_RBX1_CUL1_SKP1_FBXL20	protein_CUL1_pc;protein_FBXL20_pc;protein_RBX1_pc;protein_SKP1_pc	UBIQE2CONJT	CUL1;FBXL20;RBX1;SKP1	1;1;1;1			protein_CUL1_pc(1);protein_FBXL20_pc(1);protein_RBX1_pc(1);protein_SKP1_pc(1)	pc	169019.16900000002
cplx_HETEROTETRAMER_RBX1_CUL1_SKP1_FBXO4_pc	cplx_HETEROTETRAMER_RBX1_CUL1_SKP1_FBXO4	protein_CUL1_pc;protein_FBXO4_pc;protein_RBX1_pc;protein_SKP1_pc	UBIQE2CONJT	CUL1;FBXO4;RBX1;SKP1	1;1;1;1			protein_CUL1_pc(1);protein_FBXO4_pc(1);protein_RBX1_pc(1);protein_SKP1_pc(1)	pc	164720.86500000002
cplx_HETEROTETRAMER_RBX1_CUL1_SKP1_FBXO7_pc	cplx_HETEROTETRAMER_RBX1_CUL1_SKP1_FBXO7	protein_CUL1_pc;protein_FBXO7_pc;protein_RBX1_pc;protein_SKP1_pc	UBIQE2CONJT	CUL1;FBXO7;RBX1;SKP1	1;1;1;1			protein_CUL1_pc(1);protein_FBXO7_pc(1);protein_RBX1_pc(1);protein_SKP1_pc(1)	pc	179091.53000000014
cplx_HETEROTETRAMER_RBX1_CUL2_ELOB_ELOC_pc	cplx_HETEROTETRAMER_RBX1_CUL2_ELOB_ELOC	protein_CUL2_pc;protein_ELOB_pc;protein_ELOC_pc;protein_RBX1_pc	UBIQE2CONJT	CUL2;ELOB;ELOC;RBX1	1;1;1;1			protein_CUL2_pc(1);protein_ELOB_pc(1);protein_ELOC_pc(1);protein_RBX1_pc(1)	pc	124840.79799999992
cplx_HETEROHEXAMER_RBX1_CUL3_KLHL18_pc	cplx_HETEROHEXAMER_RBX1_CUL3_KLHL18	protein_CUL3_pc;protein_KLHL18_pc;protein_RBX1_pc	UBIQE2CONJT	CUL3;KLHL18;RBX1	2;2;2			protein_CUL3_pc(2);protein_KLHL18_pc(2);protein_RBX1_pc(2)	pc	329656.4260000008
cplx_HETEROTETRAMER_RBX1_CUL4A_DDB1_DCAF11_pc	cplx_HETEROTETRAMER_RBX1_CUL4A_DDB1_DCAF11	protein_CUL4A_pc;protein_DCAF11_pc;protein_DDB1_pc;protein_RBX1_pc	UBIQE2CONJT	CUL4A;DCAF11;DDB1;RBX1	1;1;1;1			protein_CUL4A_pc(1);protein_DCAF11_pc(1);protein_DDB1_pc(1);protein_RBX1_pc(1)	pc	288538.8119999997
cplx_HETEROTETRAMER_RBX1_CUL4A_DDB1_DCAF6_pc	cplx_HETEROTETRAMER_RBX1_CUL4A_DDB1_DCAF6	protein_CUL4A_pc;protein_DCAF6_pc;protein_DDB1_pc;protein_RBX1_pc	UBIQE2CONJT	CUL4A;DCAF6;DDB1;RBX1	1;1;1;1			protein_CUL4A_pc(1);protein_DCAF6_pc(1);protein_DDB1_pc(1);protein_RBX1_pc(1)	pc	323132.6999999995
cplx_HETEROTETRAMER_RBX1_CUL4A_DDB1_DCAF7_pc	cplx_HETEROTETRAMER_RBX1_CUL4A_DDB1_DCAF7	protein_CUL4A_pc;protein_DCAF7_pc;protein_DDB1_pc;protein_RBX1_pc	UBIQE2CONJT	CUL4A;DCAF7;DDB1;RBX1	1;1;1;1			protein_CUL4A_pc(1);protein_DCAF7_pc(1);protein_DDB1_pc(1);protein_RBX1_pc(1)	pc	265790.5609999995
cplx_HETEROTETRAMER_RBX1_CUL4B_DDB1_DCAF11_pc	cplx_HETEROTETRAMER_RBX1_CUL4B_DDB1_DCAF11	protein_CUL4B_pc;protein_DCAF11_pc;protein_DDB1_pc;protein_RBX1_pc	UBIQE2CONJT	CUL4B;DCAF11;DDB1;RBX1	1;1;1;1			protein_CUL4B_pc(1);protein_DCAF11_pc(1);protein_DDB1_pc(1);protein_RBX1_pc(1)	pc	304835.0499999996
cplx_HETEROTETRAMER_RBX1_CUL4B_DDB1_DCAF6_pc	cplx_HETEROTETRAMER_RBX1_CUL4B_DDB1_DCAF6	protein_CUL4B_pc;protein_DCAF6_pc;protein_DDB1_pc;protein_RBX1_pc	UBIQE2CONJT	CUL4B;DCAF6;DDB1;RBX1	1;1;1;1			protein_CUL4B_pc(1);protein_DCAF6_pc(1);protein_DDB1_pc(1);protein_RBX1_pc(1)	pc	339428.9379999994
cplx_HETEROTETRAMER_RBX1_CUL4B_DDB1_DCAF7_pc	cplx_HETEROTETRAMER_RBX1_CUL4B_DDB1_DCAF7	protein_CUL4B_pc;protein_DCAF7_pc;protein_DDB1_pc;protein_RBX1_pc	UBIQE2CONJT	CUL4B;DCAF7;DDB1;RBX1	1;1;1;1			protein_CUL4B_pc(1);protein_DCAF7_pc(1);protein_DDB1_pc(1);protein_RBX1_pc(1)	pc	282086.7989999994
cplx_HETEROTETRAMER_RBX1_CUL5_ELOB_ELOC_pc	cplx_HETEROTETRAMER_RBX1_CUL5_ELOB_ELOC	protein_CUL5_pc;protein_ELOB_pc;protein_ELOC_pc;protein_RBX1_pc	UBIQE2CONJT	CUL5;ELOB;ELOC;RBX1	1;1;1;1			protein_CUL5_pc(1);protein_ELOB_pc(1);protein_ELOC_pc(1);protein_RBX1_pc(1)	pc	128822.06199999998
cplx_MONOMER_CYB561D2_pc	cplx_MONOMER_CYB561D2	protein_CYB561D2_pc	TMASCBOXt;TMASCBOXt2;TMASCBOXt3	CYB561D2	1		ASSUMED MONOMER	protein_CYB561D2_pc(1)	pc	23985.546999999988
cplx_COMPLEX_CYB5R3_B5A_pc	cplx_COMPLEX_CYB5R3_B5A	protein_CYB5A_pc;protein_CYB5R3_pc	CYTB5ASCBR;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;ADRNCHR1ERx;ADRNLQ1ERx_L;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;IND56Q1ERx;NRPPHRCHR1ERx;NRPPHRQ1ERx_L;AVITE1RCYTB5R	CYB5A;CYB5R3	2;1			protein_CYB5A_pc(2);protein_CYB5R3_pc(1)	pc	54144.86600000001
cplx_COMPLEX_FADS1_CYB5A_pc	cplx_COMPLEX_FADS1_CYB5A	protein_CYB5A_pc;protein_FADS1_pc	CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z	CYB5A;FADS1	2;1			protein_CYB5A_pc(2);protein_FADS1_pc(1)	pc	74487.28400000012
cplx_COMPLEX_FADS2_CYB5A_pc	cplx_COMPLEX_FADS2_CYB5A	protein_CYB5A_pc;protein_FADS2_pc	CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z	CYB5A;FADS2	2;1			protein_CYB5A_pc(2);protein_FADS2_pc(1)	pc	74780.34800000011
cplx_COMPLEX_HBA_CYB5A_pc	cplx_COMPLEX_HBA_CYB5A	protein_CYB5A_pc;protein_HBA_pc	METHBCYTBR	CYB5A;HBA	2;1			protein_CYB5A_pc(2);protein_HBA_pc(1)	pc	37775.895999999964
cplx_COMPLEX_HBB_CYB5A_pc	cplx_COMPLEX_HBB_CYB5A	protein_CYB5A_pc;protein_HBB_pc	METHBCYTBR	CYB5A;HBB	2;1			protein_CYB5A_pc(2);protein_HBB_pc(1)	pc	38513.71799999997
cplx_COMPLEX_HBD_CYB5A_pc	cplx_COMPLEX_HBD_CYB5A	protein_CYB5A_pc;protein_HBD_pc	METHBCYTBR	CYB5A;HBD	2;1			protein_CYB5A_pc(2);protein_HBD_pc(1)	pc	38572.80999999997
cplx_COMPLEX_HBE1_CYB5A_pc	cplx_COMPLEX_HBE1_CYB5A	protein_CYB5A_pc;protein_HBE1_pc	METHBCYTBR	CYB5A;HBE1	2;1			protein_CYB5A_pc(2);protein_HBE1_pc(1)	pc	38721.15499999997
cplx_COMPLEX_HBG1_CYB5A_pc	cplx_COMPLEX_HBG1_CYB5A	protein_CYB5A_pc;protein_HBG1_pc	METHBCYTBR	CYB5A;HBG1	2;1			protein_CYB5A_pc(2);protein_HBG1_pc(1)	pc	38643.727999999974
cplx_COMPLEX_HBG2_CYB5A_pc	cplx_COMPLEX_HBG2_CYB5A	protein_CYB5A_pc;protein_HBG2_pc	METHBCYTBR	CYB5A;HBG2	2;1			protein_CYB5A_pc(2);protein_HBG2_pc(1)	pc	38641.75599999997
cplx_COMPLEX_HBM_CYB5A_pc	cplx_COMPLEX_HBM_CYB5A	protein_CYB5A_pc;protein_HBM_pc	METHBCYTBR	CYB5A;HBM	2;1			protein_CYB5A_pc(2);protein_HBM_pc(1)	pc	38131.40299999998
cplx_COMPLEX_HBQ1_CYB5A_pc	cplx_COMPLEX_HBQ1_CYB5A	protein_CYB5A_pc;protein_HBQ1_pc	METHBCYTBR	CYB5A;HBQ1	2;1			protein_CYB5A_pc(2);protein_HBQ1_pc(1)	pc	38024.11199999997
cplx_COMPLEX_HBZ_CYB5A_pc	cplx_COMPLEX_HBZ_CYB5A	protein_CYB5A_pc;protein_HBZ_pc	METHBCYTBR	CYB5A;HBZ	2;1			protein_CYB5A_pc(2);protein_HBZ_pc(1)	pc	38154.352999999974
cplx_COMPLEX_SCD_CYB5A_pc	cplx_COMPLEX_SCD_CYB5A	protein_CYB5A_pc;protein_SCD_pc	CYTBFADSD9_16_0;CYTBFADSD9_18_0	CYB5A;SCD	2;1			protein_CYB5A_pc(2);protein_SCD_pc(1)	pc	64045.802000000054
cplx_COMPLEX_CYB5R3_B5B_pc	cplx_COMPLEX_CYB5R3_B5B	protein_CYB5B_pc;protein_CYB5R3_pc	CYTB5ASCBR;ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;FCYTOB5OXR;ADRNCHR1ERx;ADRNLQ1ERx_L;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;IND56Q1ERx;NRPPHRCHR1ERx;NRPPHRQ1ERx_L;AVITE1RCYTB5R	CYB5B;CYB5R3	2;1			protein_CYB5B_pc(2);protein_CYB5R3_pc(1)	pc	64999.066000000006
cplx_COMPLEX_FADS1_CYB5B_pc	cplx_COMPLEX_FADS1_CYB5B	protein_CYB5B_pc;protein_FADS1_pc	CYTBFADSD5_20_8Z11Z14Z;CYTBFADSD5_20_8Z11Z14Z17Z	CYB5B;FADS1	2;1			protein_CYB5B_pc(2);protein_FADS1_pc(1)	pc	85341.48400000011
cplx_COMPLEX_FADS2_CYB5B_pc	cplx_COMPLEX_FADS2_CYB5B	protein_CYB5B_pc;protein_FADS2_pc	CYTBFADSD6_18_9Z;CYTBFADSD6_18_9Z12Z;CYTBFADSD6_18_9Z12Z15Z;CYTBFADSD6_20_11Z14Z;CYTBFADSD6_20_11Z14Z17Z	CYB5B;FADS2	2;1			protein_CYB5B_pc(2);protein_FADS2_pc(1)	pc	85634.54800000013
cplx_COMPLEX_HBA_CYB5B_pc	cplx_COMPLEX_HBA_CYB5B	protein_CYB5B_pc;protein_HBA_pc	METHBCYTBR	CYB5B;HBA	2;1			protein_CYB5B_pc(2);protein_HBA_pc(1)	pc	48630.09599999996
cplx_COMPLEX_HBB_CYB5B_pc	cplx_COMPLEX_HBB_CYB5B	protein_CYB5B_pc;protein_HBB_pc	METHBCYTBR	CYB5B;HBB	2;1			protein_CYB5B_pc(2);protein_HBB_pc(1)	pc	49367.91799999997
cplx_COMPLEX_HBD_CYB5B_pc	cplx_COMPLEX_HBD_CYB5B	protein_CYB5B_pc;protein_HBD_pc	METHBCYTBR	CYB5B;HBD	2;1			protein_CYB5B_pc(2);protein_HBD_pc(1)	pc	49427.009999999966
cplx_COMPLEX_HBE1_CYB5B_pc	cplx_COMPLEX_HBE1_CYB5B	protein_CYB5B_pc;protein_HBE1_pc	METHBCYTBR	CYB5B;HBE1	2;1			protein_CYB5B_pc(2);protein_HBE1_pc(1)	pc	49575.35499999997
cplx_COMPLEX_HBG1_CYB5B_pc	cplx_COMPLEX_HBG1_CYB5B	protein_CYB5B_pc;protein_HBG1_pc	METHBCYTBR	CYB5B;HBG1	2;1			protein_CYB5B_pc(2);protein_HBG1_pc(1)	pc	49497.92799999997
cplx_COMPLEX_HBG2_CYB5B_pc	cplx_COMPLEX_HBG2_CYB5B	protein_CYB5B_pc;protein_HBG2_pc	METHBCYTBR	CYB5B;HBG2	2;1			protein_CYB5B_pc(2);protein_HBG2_pc(1)	pc	49495.95599999997
cplx_COMPLEX_HBM_CYB5B_pc	cplx_COMPLEX_HBM_CYB5B	protein_CYB5B_pc;protein_HBM_pc	METHBCYTBR	CYB5B;HBM	2;1			protein_CYB5B_pc(2);protein_HBM_pc(1)	pc	48985.602999999974
cplx_COMPLEX_HBQ1_CYB5B_pc	cplx_COMPLEX_HBQ1_CYB5B	protein_CYB5B_pc;protein_HBQ1_pc	METHBCYTBR	CYB5B;HBQ1	2;1			protein_CYB5B_pc(2);protein_HBQ1_pc(1)	pc	48878.31199999997
cplx_COMPLEX_HBZ_CYB5B_pc	cplx_COMPLEX_HBZ_CYB5B	protein_CYB5B_pc;protein_HBZ_pc	METHBCYTBR	CYB5B;HBZ	2;1			protein_CYB5B_pc(2);protein_HBZ_pc(1)	pc	49008.55299999997
cplx_COMPLEX_SCD_CYB5B_pc	cplx_COMPLEX_SCD_CYB5B	protein_CYB5B_pc;protein_SCD_pc	CYTBFADSD9_16_0;CYTBFADSD9_18_0	CYB5B;SCD	2;1			protein_CYB5B_pc(2);protein_SCD_pc(1)	pc	74900.00200000005
cplx_MONOMER_CYB5R3_pc	cplx_MONOMER_CYB5R3	protein_CYB5R3_pc	ESTRADIOL23Q1ERx;ESTRADIOL34Q1ERx;ESTRONE23Q1ERx;ESTRONE34Q1ERx;ADRNCHR1ERx;ADRNLQ1ERx_L;DOPAQ1ERx_L;DPAMCHR1ERx;DPAMQ1ERx_L;DPCHR1ERx_L;IND56Q1ERx;NRPPHRCHR1ERx;NRPPHRQ1ERx_L	CYB5R3	1			protein_CYB5R3_pc(1)	pc	31628.392000000018
cplx_HOMODIMER_CYBRD1_pc	cplx_HOMODIMER_CYBRD1	protein_CYBRD1_pc	TMASCBOXt;TMASCBOXt2;TMASCBOXt3	CYBRD1	2			protein_CYBRD1_pc(2)	pc	63288.069999999985
cplx_MONOMER_DAGLA_pc	cplx_MONOMER_DAGLA	protein_DAGLA_pc	DAGL1;DAGL2;TAGL	DAGLA	1		ASSUMED MONOMER	protein_DAGLA_pc(1)	pc	114935.93999999952
cplx_MONOMER_DAGLB_pc	cplx_MONOMER_DAGLB	protein_DAGLB_pc	DAGL1;DAGL2;TAGL	DAGLB	1		ASSUMED MONOMER	protein_DAGLB_pc(1)	pc	73721.41300000015
cplx_HOMODIMER_DARS1_pc	cplx_HOMODIMER_DARS1	protein_DARS1_pc	ASPTRS	DARS1	2			protein_DARS1_pc(2)	pc	114257.29000000043
cplx_HOMOTETRAMER_DCTPP1_pc	cplx_HOMOTETRAMER_DCTPP1	protein_DCTPP1_pc	NDPC;NTPPDC	DCTPP1	4			protein_DCTPP1_pc(4)	pc	74686.44399999997
cplx_HOMOTETRAMER_DCXR_pc	cplx_HOMOTETRAMER_DCXR	protein_DCXR_pc	XYLUR_Ly	DCXR	4			protein_DCXR_pc(4)	pc	103659.41199999998
cplx_HOMOTRIMER_DDT_pc	cplx_HOMOTRIMER_DDT	protein_DDT_pc	DOPACHRMDC_D	DDT	3			protein_DDT_pc(3)	pc	38134.950000000004
cplx_MONOMER_DERA_pc	cplx_MONOMER_DERA	protein_DERA_pc	DRPA	DERA	1		ASSUMED MONOMER	protein_DERA_pc(1)	pc	35237.50300000002
cplx_COMPLEX_VCP_DERL1_pc	cplx_COMPLEX_VCP_DERL1	protein_DERL1_pc;protein_VCP_pc	NTPA	DERL1;VCP	4;10			protein_DERL1_pc(4);protein_VCP_pc(10)	pc	1008188.5080000006
cplx_MONOMER_DGKA_pc	cplx_MONOMER_DGKA	protein_DGKA_pc	DAGK;DAGOACK;DAGOK;MAGOK	DGKA	1			protein_DGKA_pc(1)	pc	82622.51700000012
cplx_HOMODIMER_DHFR_pc	cplx_HOMODIMER_DHFR	protein_DHFR_pc	DHFRy	DHFR	2			protein_DHFR_pc(2)	pc	42905.07199999998
cplx_HOMOTETRAMER_DHRS11_pc	cplx_HOMOTETRAMER_DHRS11	protein_DHRS11_pc	5ADHTRy;ANDRSTNDNRy;ESTRONEDHy;PRGSTRNRy	DHRS11	4			protein_DHRS11_pc(4)	pc	113220.32400000002
cplx_MONOMER_DNM2_pc	cplx_MONOMER_DNM2	protein_DNM2_pc	NTPG	DNM2	1		ASSUMED MONOMER	protein_DNM2_pc(1)	pc	98062.367
cplx_MONOMER_DNM3_pc	cplx_MONOMER_DNM3	protein_DNM3_pc	NTPG	DNM3	1		ASSUMED MONOMER	protein_DNM3_pc(1)	pc	97750.23800000003
cplx_HOMODIMER_DNPH1_pc	cplx_HOMODIMER_DNPH1	protein_DNPH1_pc	DAMPNH;DCMPNH;DGMPNH;DIMPNH;DTMPNH;DUMPNH	DNPH1	2			protein_DNPH1_pc(2)	pc	38202.390000000014
