genes	mim	ncbigene	hgnc.symbol	ensembl	mgi
SPTLC1	162400;605712;605712;620285	10558	SPTLC1	ENSG00000090054	MGI:1099431
SPTLC2	605713;613640	9517	SPTLC2	ENSG00000100596	MGI:108074
SRM	182891	6723	SRM	ENSG00000116649	MGI:102690
SRXN1	617583	140809	SRXN1	ENSG00000271303	MGI:104971
ST3GAL1	607187	6482	ST3GAL1	ENSG00000008513	MGI:98304
ST3GAL2	607188	6483	ST3GAL2	ENSG00000157350	MGI:99427
STEAP3	609671;615234	55240	STEAP3	ENSG00000115107	MGI:1915678
STK11	155600;602216;175200;602216;260350;602216;273300;602216	6794	STK11	ENSG00000118046	MGI:1341870
STRADB	607333	55437	STRADB	ENSG00000082146	MGI:2144047
SYK	600085;619381	6850	SYK	ENSG00000165025	MGI:99515
SYNJ1	604297;615530;604297;617389	8867	SYNJ1	ENSG00000159082	MGI:1354961
TALDO1	602063;606003	6888	TALDO1	ENSG00000177156	MGI:1274789
TARS1	187790;618546	6897	TARS1	ENSG00000113407	MGI:106314
TECR	610057;614020	9524	TECR	ENSG00000099797	MGI:1915408
TF	190000;209300	7018	TF	ENSG00000091513	MGI:98821
TFR2	604250;604720	7036	TFR2	ENSG00000106327	MGI:1354956
TFRC	190010;616740	7037	TFRC	ENSG00000072274	MGI:98822
TGM2	190196	7052	TGM2	ENSG00000198959	MGI:98731
TGM3	600238;617251	7053	TGM3	ENSG00000125780	MGI:98732
THOP1	601117	7064	THOP1	ENSG00000172009	MGI:1354165
THTPA	611612	79178	THTPA	ENSG00000259431	MGI:2446078
TKFC	615844;618805	26007	TKFC	ENSG00000149476	MGI:2385084
TKT	606781;617044	7086	TKT	ENSG00000163931	MGI:105992
TMEM109	619168	79073	TMEM109	ENSG00000110108	MGI:1915789
TMEM30A	611028	55754	TMEM30A	ENSG00000112697	MGI:106402
TMT1A	618338	25840	TMT1A	ENSG00000185432	MGI:1916523;MGI:3026615;MGI:3710670
TPI1	190450;615512	7167	TPI1	ENSG00000111669	MGI:98797
TPK1	606370;614458	27010	TPK1	ENSG00000196511	MGI:1352500
TPMT	187680;610460	7172	TPMT	ENSG00000137364	MGI:98812
TRIM58	620527	25893	TRIM58	ENSG00000162722	MGI:2684862
TRPC6	603652;603965	7225	TRPC6	ENSG00000137672	MGI:109523
TRPV2	606676	51393	TRPV2	ENSG00000187688	MGI:1341836
TSPO2	619409	222642	TSPO2	ENSG00000112212	MGI:1917276
TSTD1	616041	100131187	TSTD1	ENSG00000215845	MGI:3648482
TXN	187700	7295	TXN	ENSG00000136810	MGI:98874
TXNDC17	616967	84817	TXNDC17	ENSG00000129235	MGI:1289248
TXNDC5	616412	81567	TXNDC5	ENSG00000239264	MGI:2145316
TXNL1	603049	9352	TXNL1	ENSG00000091164	MGI:1860078
TXNRD1	601112	7296	TXNRD1	ENSG00000198431	MGI:1354175
UAP1	602862	6675	UAP1	ENSG00000117143	MGI:1334459
UBA1	301054;314370;301830;314370	7317	UBA1	ENSG00000130985	MGI:98890
UBA3	603172	9039	UBA3	ENSG00000144744	MGI:1341217
UBA6	611361	55236	UBA6	ENSG00000033178	MGI:1913894
UBAC1	608129	10422	UBAC1	ENSG00000130560	MGI:1920995
UBB	191339	7314	UBB	ENSG00000170315	MGI:98888
UBE2L3	603721	7332	UBE2L3	ENSG00000185651	MGI:109240
UBE2M	603173	9040	UBE2M	ENSG00000130725	MGI:108278
UBE2N	603679	7334	UBE2N	ENSG00000177889	MGI:1934835
UBE2O	617649	63893	UBE2O	ENSG00000175931	MGI:2444266
UBE2V1	602995	7335	UBE2V1	ENSG00000244687	MGI:1913839
UBE2V2	603001	7336	UBE2V2	ENSG00000169139	MGI:1917870
UBR4	609890	23352	UBR4	ENSG00000127481	MGI:1916366
UBXN1	616378	51035	UBXN1	ENSG00000162191	MGI:1289301
UBXN6	611946	80700	UBXN6	ENSG00000167671	MGI:1913780
UBXN7	616379	26043	UBXN7	ENSG00000163960	MGI:2146388
UFD1	601754	7353	UFD1	ENSG00000070010	MGI:109353
UGP2	191760;618744	7360	UGP2	ENSG00000169764	MGI:2183447
UMPS	258900;613891	7372	UMPS	ENSG00000114491	MGI:1298388
UROD	176100;613521	7389	UROD	ENSG00000126088	MGI:98916
USP5	601447	8078	USP5	ENSG00000111667	MGI:1347343
VARS1	192150;617802	7407	VARS1	ENSG00000204394	MGI:90675
VCP	167320;601023;601023;613954;601023;616687	7415	VCP	ENSG00000165280	MGI:99919
VCPIP1	611745	80124	VCPIP1	ENSG00000175073	MGI:1917925
VDAC1	604492	7416	VDAC1	ENSG00000213585	MGI:106919
VDAC2	193245	7417	VDAC2	ENSG00000165637	MGI:106915
VDAC3	610029	7419	VDAC3	ENSG00000078668	MGI:106922
VPS4A	609982;619273	27183	VPS4A	ENSG00000132612	MGI:1890520
VPS4B	609983	9525	VPS4B	ENSG00000119541	MGI:1100499
WARS1	191050;617721;191050;620317	7453	WARS1	ENSG00000140105	MGI:104630
WDR77	611734	79084	WDR77	ENSG00000116455	MGI:1917715
WNK1	201300;605232;605232;614492	65125	WNK1	ENSG00000060237	MGI:2442092
XPNPEP1	602443	7511	XPNPEP1	ENSG00000108039	MGI:2180003
XYLB	604049	9942	XYLB	ENSG00000093217	MGI:2142985
YARS1	603623;608323;603623;619418	8565	YARS1	ENSG00000134684	MGI:2147627
YES1	164880	7525	YES1	ENSG00000176105	MGI:99147
ZDHHC2	618621	51201	ZDHHC2	ENSG00000104219	MGI:1923452
ZDHHC20	617972	253832	ZDHHC20	ENSG00000180776	MGI:1923215
ZDHHC3	617150	51304	ZDHHC3	ENSG00000163812	MGI:1926134
ZDHHC5	614586	25921	ZDHHC5	ENSG00000156599	MGI:1923573
