	genes	uniprot	drugbank	pfam	hgnc.symbol	dbsnp	smpdb
163	GSTM2	P28161	DB00143;DB00291;DB00321;DB02458;DB03310;DB03619;DB04701	PF00043;PF02798	GSTM2		
164	GSTM3	P21266	DB00143;DB00163;DB00291;DB00321;DB03310;DB03619;DB14001;DB14002;DB14924	PF00043;PF02798	GSTM3		
165	GSTM4	Q03013	DB00143;DB00291;DB00321;DB03003;DB03032;DB03310;DB03597;DB03619;DB03706;DB04132	PF00043;PF02798	GSTM4		
166	GSTO1	P78417	DB00143;DB00163;DB14001;DB14002	PF00043;PF13417	GSTO1		
167	GSTP1	P09211	DB00143;DB00163;DB00197;DB00291;DB00316;DB00321;DB00363;DB00515;DB00526;DB00773;DB00903;DB00958;DB01008;DB01242;DB01834;DB01915;DB02633;DB03003;DB03310;DB03619;DB03686;DB03814;DB04132;DB04972;DB05460;DB06246;DB07849;DB08370;DB11672;DB11831;DB13014;DB14001;DB14002;DB14635;DB14924	PF00043;PF02798	GSTP1	rs1695	SMP0000640
168	GSTT1	P30711	DB00143;DB00291;DB00321;DB00515;DB00526;DB00773;DB00958;DB03310;DB03619;DB09221	PF00043;PF02798	GSTT1		SMP0000640
169	GSTZ1	O43708	DB00143;DB04447;DB08809;DB09462;DB14924	PF13417	GSTZ1		SMP0000006;SMP0000008;SMP0000169;SMP0000190;SMP0000206;SMP0000218;SMP0000369;SMP0000370;SMP0000429;SMP0000494;SMP0000498;SMP0000533
170	GUCY1A1	Q02108	DB09401	PF00211;PF07700;PF07701	GUCY1A1		
171	GUCY1B1	Q02153	DB09401;DB15456	PF00211;PF07700;PF07701	GUCY1B1		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
172	GUK1	Q16774	DB00577;DB00787;DB01972	PF00625	GUK1		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
173	GYG1	P46976	DB01861;DB03435	PF01501	GYG1		
174	HAGH	Q16775	DB00143;DB03889	PF00753;PF16123	HAGH		SMP0000060;SMP0000196;SMP0000212;SMP0000334;SMP0000459;SMP0000558;SMP0000559
175	HARS1	P12081	DB00117	PF00458;PF03129	HARS		SMP0000044;SMP0000191
176	HBA	P69905	DB00893;DB01592;DB01593;DB02126;DB06154;DB07427;DB07428;DB07645;DB08077;DB08262;DB08486;DB08632;DB09112;DB09130;DB09140;DB09147;DB09517;DB13257;DB13995;DB14487;DB14488;DB14489;DB14490;DB14491;DB14501;DB14533;DB14548;DB14975;DB15617	PF00042	HBA1		
177	HBB	P68871	DB00893;DB01593;DB02126;DB06154;DB07427;DB07428;DB07645;DB08077;DB08262;DB08486;DB08632;DB09112;DB09130;DB09140;DB09147;DB09517;DB13995;DB14487;DB14533;DB14548	PF00042	HBB		
178	HCK	P08631	DB01809;DB01962;DB04216;DB06616;DB12010	PF00017;PF00018;PF07714	HCK		
179	HEXB	P07686	DB00205;DB02813;DB03747;DB03861;DB09301	PF00728;PF14845	HEXB		
180	HINT1	P49773	DB00131;DB01972;DB02162;DB02183;DB03349;DB08934	PF01230	HINT1		
181	HK1	P19367	DB01914;DB02007;DB02379;DB04395;DB06266;DB09341;DB09502	PF00349;PF03727	HK1		SMP0000043;SMP0000045;SMP0000064;SMP0000182;SMP0000216;SMP0000217;SMP0000240;SMP0000390;SMP0000534;SMP0000561;SMP0000725
182	HNMT	P50135	DB00613;DB01103;DB01752;DB04655;DB05381;DB07106;DB13875		HNMT		SMP0000044;SMP0000191
183	HPGDS	O60760	DB00143;DB00291;DB00321;DB01897;DB03310;DB03619;DB07613;DB07614;DB07615;DB07616;DB07917;DB08313;DB08695;DB08790	PF02798	HPGDS		
184	HPRT1	P00492	DB00352;DB00993;DB01033;DB01632;DB02309;DB03153;DB04356	PF00156	HPRT1		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537;SMP0000609;SMP0000647
185	HSD17B11	Q8NBQ5	DB02854	PF00106	HSD17B11		
186	HSP90AA1	P07900	DB00615;DB00716;DB02359;DB02424;DB02550;DB02754;DB02840;DB03093;DB03137;DB03504;DB03749;DB03809;DB03899;DB04054;DB04216;DB04254;DB04505;DB04588;DB05134;DB06070;DB06956;DB06957;DB06958;DB06961;DB06964;DB06969;DB07100;DB07317;DB07319;DB07324;DB07325;DB07495;DB07502;DB07594;DB07601;DB07877;DB08194;DB08197;DB08436;DB08442;DB08443;DB08557;DB08786;DB08787;DB08788;DB08789;DB09130;DB09221;DB12442	PF00183;PF02518	HSP90AA1		SMP0000441;SMP0000632
187	HSPA8	P11142	DB01254;DB07045;DB09130;DB11638	PF00012	HSPA8		
188	IARS1	P41252	DB00167	PF00133;PF08264	IARS		
189	IDH1	O75874	DB01727;DB03461;DB09374;DB14568;DB16267	PF00180	IDH1		SMP0000654;SMP0002291;SMP0002292;SMP0002295;SMP0002358;SMP0002359
190	IMPA1	P29218	DB01356;DB03542;DB14507;DB14508;DB14509	PF00459	IMPA1		SMP0000011;SMP0000462
191	IMPDH2	P12268	DB00157;DB00688;DB00811;DB00993;DB01024;DB01033;DB03070;DB03948;DB04566;DB06103	PF00478;PF00571	IMPDH2		SMP0000652
192	INPP5B	P32019	DB03158	PF00620;PF03372;PF16776	INPP5B		
193	INSR	P06213	DB00030;DB00046;DB00047;DB00071;DB01277;DB01306;DB01307;DB01309;DB03909;DB05115;DB05120;DB06075;DB08513;DB09129;DB09456;DB09564;DB11564;DB11567;DB11568;DB12010;DB12267;DB14751;DB15399;DB16637	PF00041;PF00757;PF01030;PF07714	INSR		
194	ISYNA1	Q9NPH2	DB01840;DB04516;DB09462	PF01658;PF07994	ISYNA1		SMP0000011;SMP0000462
195	ITPA	Q9BY32	DB00993;DB04272	PF01725	ITPA		SMP0000046;SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000172;SMP0000178;SMP0000202;SMP0000203;SMP0000210;SMP0000219;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
196	JAK3	P52333	DB04716;DB06321;DB08877;DB08895;DB11763;DB11817;DB12010;DB14924;DB14973;DB15035	PF07714	JAK3		
197	KARS1	Q15046	DB00123	PF00152;PF01336	KARS		
198	KCNN4	O15554	DB00257;DB00468;DB00721;DB00867;DB01054;DB01110;DB01159;DB02587;DB09089	PF02888;PF03530;PF07885	KCNN4		
199	KRAS	P01116	DB07771;DB07780;DB15568;DB15569	PF00071	KRAS		SMP0000358
200	LAP3	P28838	DB02386;DB07448;DB08766	PF00883;PF02789	LAP3		
201	LARS1	Q9P2J5	DB00149	PF00133;PF08264	LARS		
202	LCMT1	Q9UIC8	DB00149	PF04072	LCMT1		
203	LDHA	P00338	DB00157;DB02483;DB02701;DB03940;DB09118;DB09130;DB11638;DB17635	PF00056;PF02866	LDHA		SMP0002298
204	LDHB	P07195	DB00157;DB02401;DB03940;DB09118;DB11638	PF00056;PF02866	LDHB		
205	LSS	P48449	DB02016;DB03696	PF13243;PF13249	LSS		SMP0000023;SMP0000079;SMP0000082;SMP0000089;SMP0000092;SMP0000095;SMP0000099;SMP0000107;SMP0000111;SMP0000112;SMP0000117;SMP0000119;SMP0000131;SMP0000209;SMP0000319;SMP0000386;SMP0000387;SMP0000388;SMP0000389;SMP0000508;SMP0000509;SMP0000510;SMP0000511
206	LTA4H	P09960	DB01197;DB02062;DB02352;DB03366;DB03424;DB05177;DB06828;DB06851;DB06917;DB07094;DB07099;DB07102;DB07104;DB07196;DB07237;DB07258;DB07259;DB07260;DB07292;DB08040;DB08466;DB11781	PF01433;PF09127	LTA4H		SMP0000075;SMP0000077;SMP0000083;SMP0000084;SMP0000085;SMP0000086;SMP0000087;SMP0000093;SMP0000094;SMP0000096;SMP0000098;SMP0000101;SMP0000102;SMP0000104;SMP0000106;SMP0000109;SMP0000113;SMP0000114;SMP0000116;SMP0000120;SMP0000289;SMP0000353;SMP0000692;SMP0000693;SMP0000694;SMP0000695;SMP0000696;SMP0000697;SMP0000698;SMP0000699;SMP0000700;SMP0000701;SMP0000702;SMP0000703;SMP0000704;SMP0000705;SMP0000706;SMP0000707;SMP0000708;SMP0000709;SMP0000710
207	LYN	P07948	DB01254;DB03023;DB06616;DB08901;DB09079;DB12010	PF00017;PF00018;PF07714	LYN		SMP0000358
208	MAP2K1	Q02750	DB02152;DB03115;DB05239;DB06616;DB06892;DB07046;DB07101;DB08130;DB08208;DB08911;DB11689;DB11967;DB14904	PF00069	MAP2K1		SMP0000358
209	MAP2K2	P36507	DB06616;DB08911;DB11689;DB11967;DB12010;DB14904	PF00069	MAP2K2		SMP0000320;SMP0000321;SMP0000358
210	MAP2K3	P46734	DB12010;DB14904	PF00069	MAP2K3		SMP0000358
211	MAP2K6	P52564	DB12010;DB14904	PF00069	MAP2K6		SMP0000320;SMP0000321;SMP0000358
212	MAPK1	P28482	DB00945;DB01017;DB01169;DB02116;DB02482;DB02587;DB02733;DB04338;DB06195;DB06641;DB06877;DB07010;DB07264;DB07788;DB07794;DB07905;DB08513;DB08521;DB11120;DB13930	PF00069	MAPK1		SMP0000320;SMP0000321;SMP0000358
213	MAPK3	P27361	DB00605;DB00945;DB01017;DB01169;DB02587;DB02733;DB04604;DB06195;DB08862;DB13930	PF00069	MAPK3		
214	MAPKAPK2	P49137	DB02010;DB07234;DB07406;DB07430;DB07431;DB07728;DB08358	PF00069	MAPKAPK2		
215	MARS1	P56192	DB00134	PF00043;PF00458;PF09334	MARS		SMP0000029;SMP0000033;SMP0000177;SMP0000214;SMP0000221;SMP0000222;SMP0000340;SMP0000341;SMP0000570
216	MAT2A	P31153	DB00118;DB00134	PF00438;PF02772;PF02773	MAT2A		SMP0000029;SMP0000033;SMP0000123;SMP0000177;SMP0000214;SMP0000221;SMP0000222;SMP0000340;SMP0000341;SMP0000445;SMP0000570;SMP0002313
217	MAT2B	Q9NZL9	DB00134	PF04321	MAT2B		SMP0000029;SMP0000033;SMP0000123;SMP0000177;SMP0000214;SMP0000221;SMP0000222;SMP0000340;SMP0000341;SMP0000445;SMP0000570;SMP0002313
218	MDH1	P40925	DB00157;DB03461;DB11638	PF00056;PF02866	MDH1		SMP0000060;SMP0000196;SMP0000212;SMP0000334;SMP0000466;SMP0000558;SMP0000559;SMP0000654
219	ME1	P48163	DB00157;DB03461	PF00390;PF03949	ME1		SMP0000060;SMP0000196;SMP0000212;SMP0000334;SMP0000466;SMP0000558;SMP0000559;SMP0002298
220	MGST2	Q99735	DB00143;DB01008;DB14924	PF01124	MGST2		
221	MIF	P14174	DB01880;DB02728;DB07718;DB07888;DB08333;DB08334;DB08335;DB08765	PF01187	MIF		SMP0000006;SMP0000169;SMP0000190;SMP0000218;SMP0000429;SMP0000494;SMP0000498;SMP0000533
222	MTAP	Q13126	DB00173;DB02158;DB02281;DB02282;DB02933	PF01048	MTAP		SMP0000033;SMP0000177;SMP0000214;SMP0000221;SMP0000222;SMP0000340;SMP0000341;SMP0000570
223	MTHFD1	P11586	DB00116;DB00157;DB02358;DB03461;DB04322	PF00763;PF01268;PF02882	MTHFD1		SMP0000053;SMP0000432;SMP0000543;SMP0000724
224	NADSYN1	Q6IA69	DB00130;DB00142	PF00795;PF02540	NADSYN1		SMP0000048;SMP0000072;SMP0000136;SMP0000243;SMP0000339;SMP0000385;SMP0000567
225	NAGK	Q9UJ70	DB00141	PF01869	NAGK		SMP0000045;SMP0000072;SMP0000136;SMP0000216;SMP0000217;SMP0000240;SMP0000243;SMP0000339;SMP0000385;SMP0000390;SMP0000534;SMP0000567
226	NAMPT	P43490	DB05217;DB12731;DB12980	PF04095	NAMPT		SMP0000048
227	NAPEPLD	Q6IQ20	DB14009	PF12706	NAPEPLD		
228	NARS1	O43776	DB00174	PF00152;PF01336	NARS		SMP0000067;SMP0000175;SMP0000192
229	NME1	P15531	DB00300;DB00441;DB00640;DB00709;DB00718;DB00787;DB01262;DB01593;DB02181;DB02345;DB02569;DB02607;DB02887;DB03103;DB03491;DB04068;DB04315;DB04366;DB04542;DB08934;DB09130;DB09299;DB14126;DB14487;DB14533;DB14548	PF00334	NME1		SMP0000446;SMP0000603;SMP0000629;SMP0000630;SMP0000649
230	NME2	P22392	DB00300;DB00640;DB00709;DB00718;DB00787;DB01262;DB04315;DB09299;DB14126	PF00334	NME2		SMP0000444;SMP0000579;SMP0000580;SMP0000629;SMP0000630
231	NMNAT3	Q96T66	DB02596;DB03227;DB04099	PF01467	NMNAT3		
232	NOS3	P29474	DB00125;DB00155;DB00360;DB00435;DB00997;DB01110;DB01686;DB01821;DB01833;DB01997;DB02027;DB02044;DB02048;DB02077;DB02141;DB02207;DB02234;DB02335;DB02589;DB02911;DB02979;DB02994;DB03065;DB03100;DB03144;DB03305;DB03332;DB03707;DB03910;DB03918;DB03963;DB03974;DB04018;DB04223;DB04534;DB04559;DB06154;DB07001;DB07244;DB07388;DB08018;DB08019;DB09237	PF00175;PF00258;PF00667;PF02898	NOS3		SMP0000650
233	NPEPPS	P55786	DB11638;DB11781	PF01433;PF11838	NPEPPS		
234	NQO2	P16083	DB00157;DB00170;DB01065;DB01087;DB02709;DB03147;DB03541;DB04216;DB04253;DB06695;DB07339;DB08190;DB08228;DB08744	PF02525	NQO2		
235	NSF	P46459	DB01902	PF00004;PF02359;PF02933	NSF		
236	NT5C	Q8TCD5	DB00709	PF06941	NT5C		SMP0000446;SMP0000603;SMP0000649
237	NT5C2	P49902	DB00171;DB00811;DB06408	PF05761	NT5C2		SMP0000046;SMP0000048;SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000172;SMP0000178;SMP0000202;SMP0000203;SMP0000210;SMP0000219;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
238	ODC1	P11926	DB00114;DB00127;DB00203;DB00313;DB01917;DB02209;DB02824;DB03856;DB04083;DB04263;DB06243	PF00278;PF02784	ODC1		SMP0000445
239	OGA	O60502	DB00428	PF07555	MGEA5		
240	OXSR1	O95747	DB12010	PF00069;PF12202	OXSR1		
241	P2RX1	P51575	DB01069		P2RX1		
242	P2RX2	Q9UBL9	DB01069;DB15097		P2RX2		
243	P2RX7	Q99572	DB01069		P2RX7		
244	P4HB	P07237	DB01593;DB03615;DB09130;DB11638;DB14487;DB14533;DB14548	PF00085	P4HB		
245	PAFAH1B3	Q15102	DB07821	PF13472	PAFAH1B3		
246	PAICS	P22234	DB00128	PF00731;PF01259	PAICS		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
247	PAK2	Q13177	DB12010	PF00069;PF00786	PAK2		
248	PANX1	Q96RD7	DB01032	PF00876	PANX1		
249	PARK7	Q99497	DB09130	PF01965	PARK7		
250	PCBD1	P61457	DB04400	PF01329	PCBD1		
251	PCK1	P35558	DB00787;DB01819;DB02008;DB03267;DB03725;DB09338	PF00821	PCK1		SMP0000060;SMP0000128;SMP0000196;SMP0000212;SMP0000334;SMP0000374;SMP0000558;SMP0000559;SMP0000560;SMP0000562;SMP0000563;SMP0000573;SMP0000574;SMP0000581
252	PCMT1	P22061	DB01752	PF01135	PCMT1		
253	PCYT1A	P49585	DB00122;DB00709;DB14006	PF01467	PCYT1A		SMP0000025;SMP0000649;SMP0014216;SMP0014218;SMP0014220;SMP0014224;SMP0014228;SMP0014229;SMP0014230;SMP0014233;SMP0014235;SMP0014240;SMP0014242;SMP0014245;SMP0014248;SMP0014249;SMP0014255;SMP0014267;SMP0014272;SMP0014274;SMP0014277;SMP0014278;SMP0014279;SMP0014287;SMP0014290;SMP0014291;SMP0014294;SMP0014300;SMP0014303;SMP0014304;SMP0014306;SMP0014310
254	PCYT1B	Q9Y5K3	DB00122;DB14006	PF01467	PCYT1B		
255	PCYT2	Q99447	DB00709	PF01467	PCYT2		SMP0000649;SMP0014216;SMP0014218;SMP0014220;SMP0014224;SMP0014228;SMP0014229;SMP0014230;SMP0014233;SMP0014235;SMP0014240;SMP0014242;SMP0014245;SMP0014248;SMP0014249;SMP0014255;SMP0014267;SMP0014272;SMP0014274;SMP0014277;SMP0014278;SMP0014279;SMP0014287;SMP0014290;SMP0014291;SMP0014294;SMP0014300;SMP0014303;SMP0014304;SMP0014306;SMP0014310;SMP0015056;SMP0015057;SMP0015058;SMP0015062;SMP0015063;SMP0015074;SMP0015077;SMP0015078;SMP0015084;SMP0015086;SMP0015092;SMP0015094;SMP0015095;SMP0015097;SMP0015101;SMP0015103;SMP0015109;SMP0015112;SMP0015114;SMP0015116;SMP0015117;SMP0015119;SMP0015120;SMP0015121
256	PDE1A	P54750	DB00201;DB00622;DB01023;DB01244;DB09283	PF00233;PF08499	PDE1A		
257	PDE2A	O00408	DB00201;DB02315;DB05142;DB06246;DB07954;DB08811;DB09273;DB09283	PF00233;PF01590;PF13185	PDE2A		
258	PDE3A	Q14432	DB00201;DB00235;DB00261;DB00277;DB00922;DB01166;DB01223;DB01303;DB01427;DB04880;DB05266;DB08811;DB09283	PF00233	PDE3A		
259	PDE3B	Q13370	DB00201;DB01113;DB01427;DB01640;DB01970;DB07954;DB09283	PF00233	PDE3B		
260	PDE4D	Q08499	DB00131;DB00201;DB00651;DB01088;DB01113;DB01427;DB01656;DB01791;DB01954;DB01959;DB02676;DB02918;DB03183;DB03606;DB03849;DB04149;DB04271;DB04469;DB05219;DB05266;DB05298;DB06246;DB06842;DB07051;DB07954;DB08299;DB09283	PF00233	PDE4D		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000263;SMP0000264;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
261	PDE5A	O76074	DB00201;DB00203;DB00277;DB00820;DB00862;DB00975;DB01113;DB01972;DB03597;DB05415;DB06237;DB06246;DB06267;DB07954;DB08729;DB09282;DB09283;DB12010	PF00233;PF01590	PDE5A		
262	PDE9A	O76083	DB00201;DB03597;DB07954;DB09283	PF00233	PDE9A		
263	PDIA3	P30101	DB01593;DB09130;DB14487;DB14533;DB14548	PF00085	PDIA3		
264	PDXK	O00764	DB00147;DB00165;DB03909;DB04770;DB04776	PF08543	PDXK		SMP0000017;SMP0000503
265	PDXP	Q96GD0	DB00114;DB00165	PF13344	PDXP		SMP0000017;SMP0000503
266	PFAS	O15067	DB00130;DB00142	PF02769	PFAS		SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
267	PGAM1	P18669	DB09130;DB11638	PF00300	PGAM1		SMP0000040;SMP0000128;SMP0000374;SMP0000531;SMP0000560;SMP0000562;SMP0000563;SMP0000572;SMP0000573;SMP0000574;SMP0000581
268	PGD	P52209	DB00563;DB00695;DB00789;DB00814;DB00851;DB00867;DB00920;DB02076;DB03962	PF00393;PF03446	PGD		SMP0000654
269	PGK1	P00558	DB00709;DB00787;DB03909;DB04510;DB09130;DB11638	PF00162	PGK1		SMP0000649;SMP0000654
270	PGK2	P07205	DB00787	PF00162	PGK2		
271	PGM1	P36871	DB02835;DB04397;DB06773	PF00408;PF02878;PF02879;PF02880	PGM1		SMP0000010;SMP0000031;SMP0000043;SMP0000058;SMP0000128;SMP0000182;SMP0000374;SMP0000495;SMP0000496;SMP0000518;SMP0000519;SMP0000520;SMP0000552;SMP0000553;SMP0000554;SMP0000555;SMP0000556;SMP0000557;SMP0000560;SMP0000562;SMP0000563;SMP0000573;SMP0000574;SMP0000581
272	PHGDH	O43175	DB00157	PF00389;PF02826	PHGDH		SMP0000004;SMP0000179;SMP0000223;SMP0000242;SMP0000244;SMP0000484;SMP0000485;SMP0000721
273	PHOSPHO1	Q8TCT1	DB00122	PF06888	PHOSPHO1		SMP0000025
274	PIK3C3	Q8NEB9	DB06836;DB11962	PF00454;PF00613;PF00792	PIK3C3		SMP0000011;SMP0000463;SMP0000582
275	PIP4K2B	P78356	DB12010	PF01504	PIP4K2B		
276	PIP4K2C	Q8TBX8	DB12010	PF01504	PIP4K2C		
277	PISD	Q9UG56	DB00144	PF02666	PISD		SMP0000025;SMP0014216;SMP0014218;SMP0014220;SMP0014224;SMP0014228;SMP0014229;SMP0014230;SMP0014233;SMP0014235;SMP0014240;SMP0014242;SMP0014245;SMP0014248;SMP0014249;SMP0014255;SMP0014267;SMP0014272;SMP0014274;SMP0014277;SMP0014278;SMP0014279;SMP0014287;SMP0014290;SMP0014291;SMP0014294;SMP0014300;SMP0014303;SMP0014304;SMP0014306;SMP0014310;SMP0015056;SMP0015057;SMP0015058;SMP0015062;SMP0015063;SMP0015074;SMP0015077;SMP0015078;SMP0015084;SMP0015086;SMP0015092;SMP0015094;SMP0015095;SMP0015097;SMP0015101;SMP0015103;SMP0015109;SMP0015112;SMP0015114;SMP0015116;SMP0015117;SMP0015119;SMP0015120;SMP0015121
278	PKLR	P30613	DB00119;DB00787;DB02726;DB04551;DB16236	PF00224;PF02887	PKLR		SMP0000040;SMP0000060;SMP0000196;SMP0000212;SMP0000334;SMP0000531;SMP0000558;SMP0000559;SMP0000572;SMP0000654
279	PKM	P14618	DB00119;DB00787;DB01733;DB02726;DB07628;DB07692;DB07697;DB08951;DB09130;DB11263;DB11638	PF00224;PF02887	PKM		SMP0000654
280	PLA2G4A	P47712	DB00041;DB00086;DB00411;DB00445;DB00578;DB00588;DB00721;DB01083;DB01103;DB04552;DB04786;DB04827;DB05029;DB06311;DB13867	PF00168;PF01735	PLA2G4A		SMP0000358
281	PLD1	Q13393	DB00122;DB05301;DB09031;DB14006	PF00169;PF00614;PF00787;PF13091	PLD1		
282	PNP	P00491	DB00242;DB00640;DB00900;DB01667;DB02222;DB02230;DB02377;DB02391;DB02568;DB02796;DB02857;DB03101;DB03551;DB03609;DB03881;DB04076;DB04260;DB04335;DB04753;DB04754;DB04757;DB06185	PF01048	PNP		SMP0000048;SMP0000050;SMP0000144;SMP0000167;SMP0000168;SMP0000203;SMP0000210;SMP0000220;SMP0000364;SMP0000365;SMP0000427;SMP0000428;SMP0000430;SMP0000512;SMP0000513;SMP0000535;SMP0000536;SMP0000537
283	PNPO	Q9NVS9	DB00114;DB02209;DB03247;DB03345	PF01243;PF10590	PNPO		SMP0000017;SMP0000503
284	PPCDC	Q96CD2	DB03247;DB03738	PF02441	PPCDC		SMP0000027
285	PPIA	P62937	DB00091;DB00172;DB01742;DB02419;DB03393;DB09130;DB11638	PF00160	PPIA		
286	PPIB	P23284	DB00172;DB04447	PF00160	PPIB		SMP0000074;SMP0000086;SMP0000327;SMP0000336;SMP0000406;SMP0000433;SMP0000442;SMP0000590;SMP0000600;SMP0000601;SMP0000622;SMP0000640;SMP0000648;SMP0030406;SMP0030880
287	PPP1CA	P62136	DB02506	PF00149;PF16891	PPP1CA		SMP0000309;SMP0000311;SMP0000312;SMP0000333;SMP0000335
288	PPP1CC	P36873	DB02169;DB02860;DB04738	PF00149;PF16891	PPP1CC		
289	PPP2CA	P67775	DB00163;DB02506;DB06905	PF00149	PPP2CA		
290	PPP2CB	P62714	DB00163	PF00149	PPP2CB		
291	PPP2R1A	P30153	DB02506;DB06905	PF02985	PPP2R1A		
292	PRDX1	Q06830	DB01593;DB09130;DB09221;DB11638;DB14487;DB14533;DB14548	PF00578;PF10417	PRDX1		
293	PRDX2	P32119	DB02153;DB04048;DB09130	PF00578;PF10417	PRDX2		
294	PRDX5	P30044	DB00995;DB03608;DB09221	PF08534	PRDX5		
295	PRDX6	P30041	DB03814;DB09130	PF00578;PF10417	PRDX6		
296	PREP	P48147	DB00107;DB01684;DB03382;DB03535;DB03864;DB07148;DB08738;DB08739	PF00326;PF02897	PREP		
297	PRKAA1	Q13131	DB00131;DB00171;DB00273;DB00914;DB00945;DB12010	PF00069;PF16579	PRKAA1		
298	PRKAB1	Q9Y478	DB00131;DB00273;DB00331;DB00945;DB12010	PF04739;PF16561	PRKAB1		
299	PRKACA	P17612	DB01919;DB01940;DB02155;DB02482;DB02611;DB03374;DB04098;DB04522;DB04530;DB04707;DB06959;DB06977;DB07107;DB07124;DB07204;DB07235;DB07458;DB07583;DB07854;DB07855;DB07856;DB07857;DB07858;DB07859;DB07860;DB07876;DB07947;DB07995;DB07996;DB07997;DB08070;DB08073;DB08113;DB08114;DB08148;DB08149;DB08150;DB08162;DB08231;DB08568;DB08569;DB08756;DB08846;DB12010	PF00069	PRKACA		SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670
300	PRKACB	P22694	DB02482;DB12010	PF00069	PRKACB		SMP0000308;SMP0000309;SMP0000310;SMP0000311;SMP0000312;SMP0000320;SMP0000321;SMP0000322;SMP0000333;SMP0000335;SMP0000343;SMP0000354;SMP0063777
301	PRKAG1	P54619	DB00131;DB00273;DB00945;DB12010	PF00571	PRKAG1		
302	PRKAR1A	P10644	DB01790;DB02315;DB02527;DB05798	PF00027;PF02197	PRKAR1A		SMP0000296;SMP0000297;SMP0000298;SMP0000299;SMP0000300;SMP0000301;SMP0000302;SMP0000303;SMP0000304;SMP0000305;SMP0000306;SMP0000307;SMP0000323;SMP0000324;SMP0000325;SMP0000326;SMP0000327;SMP0000328;SMP0000329;SMP0000330;SMP0000331;SMP0000332;SMP0000359;SMP0000366;SMP0000367;SMP0000368;SMP0000375;SMP0000376;SMP0000377;SMP0000378;SMP0000379;SMP0000380;SMP0000381;SMP0000382;SMP0000657;SMP0000658;SMP0000659;SMP0000660;SMP0000661;SMP0000662;SMP0000663;SMP0000664;SMP0000665;SMP0000666;SMP0000667;SMP0000668;SMP0000669;SMP0000670
303	PRKAR2B	P31323	DB02527	PF00027;PF02197	PRKAR2B		
304	PRKCA	P17252	DB00144;DB00163;DB00675;DB02010;DB04209;DB05013;DB06451;DB06595;DB06641;DB08846;DB09096;DB11752;DB14001;DB14002	PF00069;PF00130;PF00168	PRKCA		SMP0000358;SMP0063777
