genes	uniprot	uniprot.isoform	uniprot.chain	hgnc.symbol	ec-code	taxonomy	uniparc	rhea	go	ccds	ena.embl	refseq	bmrb	pdb	sasbdb	smr	biogrid	complexportal	dip	intact	chembl.target	drugbank	iuphar.receptor	cazy	ideal	merops	peroxibase	tcdb	dbsnp	proteomicsdb.protein	ensembl	ncbigene	kegg.genes	genecards	hgnc	hpa	mim	nextprot	orphanet	pharmgkb.gene	eggnog	genetree	hogenom	oma.grp	orthodb	treefam	biocyc	brenda	reactome	genewiki	bgee.gene	cdd	disprot	hamap	interpro	panther.family	pfam	pirsf	prints	prosite	smart	supfam	chromosome
SMPD3	Q9NY59	Q9NY59-1;Q9NY59-2	PRO_0000075692	SMPD3	3.1.4.12	9606	UPI0000037769	19253;45320;45324;45300;41119;39923;45296;45644	0000137;0000139;0001786;0001958;0002244;0002685;0003433;0004767;0005576;0005737;0005886;0006672;0006684;0006685;0008081;0015774;0030072;0030282;0030509;0032963;0035264;0042802;0045840;0046872;0048008;0048286;0048661;0051898;0061035;0061751;0070300;0070301;0070314;0071286;0071356;0071461;0071897;0085029;0090520;0097187;0098868;0140014;0140052;1900126;1901653;1903543	CCDS10867.1	AJ250460;AC099521;BC112238;BC143631	NP_061137.1;XP_005256088.1;XP_005256089.1;XP_011521509.1;XP_011521510.1;XP_011521511.1;XP_016878894.1;XP_016878895.1;XP_016878896.1;XP_016878897.1;XP_047290292.1;XP_047290293.1;XP_047290294.1;XP_047290295.1;XP_047290296.1;XP_047290297.1;XP_054169385.1;XP_054169386.1;XP_054169387.1;XP_054169388.1;XP_054169389.1;XP_054169390.1;XP_054169391.1;XP_054169392.1;XP_054169393.1		5UVG		Q9NY59	120692		DIP-60431N	Q9NY59	CHEMBL4523470	DB00144								7214;83180	ENST00000219334.10;ENST00000563226.1	55512	hsa:55512	SMPD3	14240	ENSG00000103056	605777	NX_Q9NY59		PA37862	ENOG502QVS2	ENSGT00400000022168	CLU_028243_0_0_1	EENGHMS	40902at2759	TF328678		3.1.4.12	R-HSA-5626978;R-HSA-9840310	SMPD3	ENSG00000103056	cd09078			IPR036691;IPR005135;IPR038772;IPR017766	PTHR16320:SF8;PTHR16320	PF03372					SSF56219	16
SMPDL3B	Q92485	Q92485-1;Q92485-2	PRO_0000002331	SMPDL3B	3.1.4.-	9606	UPI00004700F5		0004767;0005615;0005886;0006685;0006954;0008081;0008270;0016798;0034122;0045087;0046466;0050728;0070062;0098552	CCDS30655.1;CCDS30656.1	Y08134;AK316500;AL512288;CH471059;BC014444	NP_001009568.1;NP_055289.2				Q92485	118117			Q92485									rs34560878	75266;75267	ENST00000373888.8;ENST00000373894.8	27293	hsa:27293	SMPDL3B	21416	ENSG00000130768	617737	NX_Q92485		PA134889099	KOG3770	ENSGT00950000183182	CLU_014743_0_2_1	GNFWHIT	348678at2759	TF313674					ENSG00000130768	cd00842			IPR017064;IPR045473;IPR041805;IPR004843;IPR029052	PTHR10340:SF25;PTHR10340	PF19272;PF00149	PIRSF036767				SSF56300	1
SMS	P52788	P52788-1;P52788-2	PRO_0000156538	SMS	2.5.1.22	9606	UPI0000135E88	19973	0005829;0006555;0006595;0006597;0016768;0070062	CCDS14203.1;CCDS59161.1	Z49099;AD001528;AK313834;U53331;U73023;CH471074;BC009898;BC085621	NP_001245352.1;NP_004586.2		3C6K;3C6M		P52788	112495			P52788	CHEMBL4934	DB00127							rs121434610;rs397515549;rs1394834572;rs397515550;rs267607076;rs397515553	56531;56532	ENST00000379404.5;ENST00000404933.7	6611	hsa:6611	SMS	11123	ENSG00000102172	300105;309583	NX_P52788	3063	PA35972	KOG1562	ENSGT00870000136506	CLU_048650_1_0_1	PDGKEPI	5953636at2759	TF324508	MetaCyc:HS02362-MONOMER	2.5.1.22	R-HSA-351202	SMS_(gene)	ENSG00000102172	cd02440			IPR030374;IPR030373;IPR029063;IPR035246;IPR037163;IPR015576;IPR040900	PTHR46315;PTHR46315:SF1	PF17284;PF01564;PF17950			PS01330;PS51006		SSF53335	X
SOD1	P00441		PRO_0000164057	SOD1	1.15.1.1	9606	UPI0000000C20	20696	0000303;0001541;0001819;0001890;0001895;0002262;0004784;0005507;0005576;0005615;0005634;0005654;0005737;0005739;0005758;0005759;0005777;0005829;0006749;0006801;0006879;0006915;0007283;0007566;0007605;0007626;0008089;0008090;0008217;0008270;0008340;0009408;0009410;0010467;0019226;0019228;0019430;0030346;0031267;0031410;0032287;0032839;0032930;0032991;0033081;0035234;0040014;0042542;0042554;0042802;0042803;0043025;0043065;0043087;0043410;0043524;0045471;0046620;0046716;0048538;0048678;0050665;0050728;0050766;0051087;0051093;0051881;0060047;0060052;0060087;0060088;0070062;0072593;0099610;1902177;1904115;2000242	CCDS33536.1	L44139;L44135;L44136;L44137;X02317;X01780;X01781;X01782;X01783;X01784;AY049787;AY450286;EF151142;AK312116;CR450355;CR541742;BT006676;AY835629;AP000253;CH471079;BC001034;L46374;L46375;L44746;X95228	NP_000445.1	P00441	1AZV;1BA9;1DSW;1FUN;1HL4;1HL5;1KMG;1L3N;1MFM;1N18;1N19;1OEZ;1OZT;1OZU;1P1V;1PTZ;1PU0;1RK7;1SOS;1SPD;1UXL;1UXM;2AF2;2C9S;2C9U;2C9V;2GBT;2GBU;2GBV;2LU5;2MP3;2NAM;2NNX;2R27;2V0A;2VR6;2VR7;2VR8;2WKO;2WYT;2WYZ;2WZ0;2WZ5;2WZ6;2XJK;2XJL;2ZKW;2ZKX;2ZKY;3CQP;3CQQ;3ECU;3ECV;3ECW;3GQF;3GTV;3GZO;3GZP;3GZQ;3H2P;3H2Q;3HFF;3K91;3KH3;3KH4;3LTV;3QQD;3RE0;3T5W;4A7G;4A7Q;4A7S;4A7T;4A7U;4A7V;4B3E;4BCY;4BCZ;4BD4;4FF9;4MCM;4MCN;4NIN;4NIO;4NIP;4OH2;4XCR;5DLI;5IIW;5J07;5J0C;5J0F;5J0G;5K02;5O3Y;5O40;5U9M;5WMJ;5WOR;5YTO;5YTU;5YUL;6A9O;6B79;6DTK;6FFK;6FLH;6FOI;6FOL;6FON;6FP6;6SPA;6SPH;6SPI;6SPJ;6SPK;6Z3V;6Z4G;6Z4H;6Z4I;6Z4J;6Z4K;6Z4L;6Z4M;6Z4O;7CJV;7CJW;7FB6;7FB9;7NXX;7T8E;7T8F;7T8G;7T8H;7VZF;7XX3;8CCX;8GSQ;8IHU;8IHV;8K33;8K3A;8K3L;8Q6M;8YD3;9IYK		P00441	112530	CPX-2897	DIP-44941N	P00441	CHEMBL2354	DB01629;DB14001;DB05025;DB09096;DB09061;DB00958;DB00515;DB09130;DB14002;DB00988;DB01064;DB14009;DB14011;DB00526;DB09221;DB03382;DB00163;DB01593;DB14487;DB14533;DB14548							rs121912444;rs121912442;rs121912448;rs1568807330;rs1568807342;rs1568807333;rs121912456;rs1202989817;rs1568807400;rs121912453;rs1555836169;rs1568807435;rs121912450;rs1169198442;rs121912431;rs1555836520;rs121912432;rs121912434;rs121912433;rs121912435;rs121912457;rs121912443;rs1568809175;rs1568809172;rs1568809178;rs986277034;rs1568810275;rs1568810289;rs121912455;rs1601157750;rs121912458;rs1315541036;rs121912452;rs121912436;rs11556620;rs1339283341;rs1568810660;rs1280042397;rs80265967;rs121912438;rs121912437;rs1568810690;rs1555836806;rs121912439;rs76731700;rs1568810721;rs1568810715;rs121912445;rs1378590183;rs121912440;rs1359299834;rs1601158483;rs1299542356;rs74315452;rs121912441;rs1568810789;rs1301635320;rs1235629842;rs1568811366;rs1568811372;rs121912454;rs1568811423;rs121912451;rs1804449;rs1482760341;rs121912446;rs121912447;rs1568811515;rs1568811520;rs1476760624;rs567511139;rs1424014997;rs121912449	51250	ENST00000270142.11	6647	hsa:6647	SOD1	11179	ENSG00000142168	105400;147450;618598	NX_P00441	803	PA334	KOG0441	ENSGT00940000155551	CLU_056632_4_1_1	AQRGFHI	2015551at2759	TF105131	MetaCyc:HS06899-MONOMER	1.15.1.1	R-HSA-114608;R-HSA-3299685;R-HSA-8950505	SOD1	ENSG00000142168	cd00305	DP00652		IPR036423;IPR024134;IPR018152;IPR001424	PTHR10003	PF00080		PR00068	PS00087;PS00332		SSF49329	21
SORD	Q00796	Q00796-1;Q00796-2	PRO_0000160817	SORD	1.1.1.-;1.1.1.14;1.1.1.4;1.1.1.56;1.1.1.9	9606	UPI000013D771	33031;48760;20433;20053;24340;10160	0000721;0003939;0005615;0005829;0006006;0006062;0008270;0016020;0019640;0030246;0030317;0031514;0031966;0042802;0046370;0046526;0047833;0050255;0051160;0051164;0051287;0070062	CCDS10116.1	U07361;L29008;L29254;L29249;L29250;L29251;L29252;L29253;U67243;U67236;U67237;U67238;U67239;U67240;U67241;U67242;AK295656;AK312444;AC090888;AC091117;BC021085;BC025295	NP_003095.2		1PL6;1PL7;1PL8		Q00796	112535			Q00796	CHEMBL2275	DB04478;DB00157							rs145813597;rs1042079;rs930337;rs149975952	57873;6501	ENST00000267814.14;ENST00000558789.5	6652	hsa:6652	SORD	11184	ENSG00000140263	182500;618912	NX_Q00796		PA36021	KOG0024	ENSGT00550000074781	CLU_168382_0_0_1	FETWYAM	1879366at2759	TF313060		1.1.1.14	R-HSA-5652227;R-HSA-5661270	SORD	ENSG00000140263	cd05285			IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;IPR020843;IPR045306	PTHR43161;PTHR43161:SF9	PF08240;PF00107			PS00059	SM00829	SSF50129;SSF51735	15
SPHK1	Q9NYA1	Q9NYA1-1;Q9NYA1-2;Q9NYA1-3	PRO_0000181357	SPHK1	2.3.1.-;2.7.1.91	9606	UPI000003AC26	51496;59392;15465;35847;41163	0000287;0001568;0001727;0003677;0005516;0005524;0005634;0005654;0005737;0005829;0005886;0005905;0005929;0006473;0006670;0006954;0007420;0008283;0008289;0008481;0010800;0010803;0016020;0016407;0017050;0019722;0030100;0030139;0030148;0030307;0030335;0031398;0031901;0032651;0032740;0034612;0035556;0035924;0038036;0043066;0043231;0045766;0045840;0045931;0045987;0046512;0046521;0048146;0050764;0051092;0051721;0070301;0071363;0071897;0098793;0150077;1900060;1900745;1901224;1903978;1905364	CCDS11744.1;CCDS45785.1;CCDS59297.1	AF266756;AF238083;AF200328;AK023393;AK292294;AK022402;AJ245504;AC090699;CH471099;BC009419;BC014439;BC030553	NP_001136073.1;NP_001136074.1;NP_001342068.1;NP_068807.2;NP_892010.2;XP_005257823.1		3VZB;3VZC;3VZD;4L02;4V24		Q9NYA1	114396			Q9NYA1	CHEMBL4394	DB08868	2204						rs346803	83202;83203	ENST00000323374.8;ENST00000392496.3;ENST00000545180.5;ENST00000590959.5;ENST00000592299.6	8877	hsa:8877	SPHK1	11240	ENSG00000176170	603730	NX_Q9NYA1		PA36070	KOG1116	ENSGT00940000157864	CLU_013399_1_0_1	TMGNFYA	3853857at2759	TF354296		2.7.1.91	R-HSA-1660661;R-HSA-390471;R-HSA-5218921;R-HSA-9009391;R-HSA-9833482	Sphingosine_kinase_1	ENSG00000176170				IPR017438;IPR001206;IPR050187;IPR016064	PTHR12358;PTHR12358:SF47	PF00781			PS50146	SM00046	SSF111331	17
SPTLC1	O15269	O15269-1;O15269-2	PRO_0000163853	SPTLC1	2.3.1.50	9606	UPI000012E27B	14761;33683;35675;35679	0004758;0005783;0005789;0006665;0006686;0017059;0030148;0030170;0046511;0046512;0046513;1904504;1904649	CCDS6692.1;CCDS6693.1	Y08685;AF286717;AF286703;AF286704;AF286705;AF286706;AF286707;AF286708;AF286709;AF286710;AF286711;AF286712;AF286713;AF286714;AF286715;AF286716;AK291546;AL391219;AL354751;CH471089;BC007085	NP_001268232.1;NP_006406.1;NP_847894.1		6M4N;6M4O;7CQI;7CQK;7K0I;7K0J;7K0K;7K0L;7K0M;7K0N;7K0O;7K0P;7K0Q;7YIU;7YIY;7YJ1;7YJ2		O15269	115809	CPX-6663;CPX-6664;CPX-6665;CPX-6681	DIP-45626N	O15269	CHEMBL1250343	DB00114;DB00133							rs879254294;rs1554716504;rs1197928094;rs119482082;rs119482081;rs119482083;rs45461899;rs542876370;rs768841574;rs267607087;rs267607088;rs119482084	48557;48558	ENST00000262554.7;ENST00000337841.4;ENST00000690139.1	10558	hsa:10558	SPTLC1	11277	ENSG00000090054	162400;605712;620285	NX_O15269	36386;300605	PA36106	KOG1358	ENSGT00550000074872	CLU_015846_0_1_1	LTKYGCG	3168162at2759	TF314877	MetaCyc:HS01673-MONOMER	2.3.1.50	R-HSA-1660661	SPTLC1	ENSG00000090054				IPR004839;IPR050087;IPR015424;IPR015421;IPR015422	PTHR13693;PTHR13693:SF2	PF00155					SSF53383	9
SPTLC2	O15270		PRO_0000163858	SPTLC2	2.3.1.50	9606	UPI0000000C6B	14761;33683	0004758;0005789;0006686;0017059;0030148;0030170;0046511;0046512;0046513;0060612;1904504	CCDS9865.1	Y08686;AB011098;AF111168;BC005123;U15555	NP_004854.1		6M4N;6M4O;7CQI;7CQK;7K0I;7K0J;7K0K;7K0L;7K0M;7K0N;7K0O;7K0P;7K0Q;7YIU;7YIY;7YJ1;7YJ2		O15270	114894	CPX-6663;CPX-6664	DIP-34604N	O15270	CHEMBL1250344	DB00114;DB00133							rs864621998;rs775437084;rs267607090;rs267607089;rs267607091	48559	ENST00000216484.7	9517	hsa:9517	SPTLC2	11278	ENSG00000100596	605713;613640	NX_O15270	36386	PA36107	KOG1357	ENSGT00940000155786	CLU_015846_7_1_1	QPRANGC	65434at2759	TF300452	MetaCyc:HS02117-MONOMER	2.3.1.50	R-HSA-1660661	SPTLC2	ENSG00000100596	cd06454			IPR001917;IPR004839;IPR050087;IPR015424;IPR015421;IPR015422	PTHR13693;PTHR13693:SF79	PF00155			PS00599		SSF53383	14
SRM	P19623		PRO_0000156445	SRM	2.5.1.16	9606	UPI0000049054	12721	0004766;0005829;0006595;0008295;0042802;0042803;1990830	CCDS125.1	M34338;M64231;AL109811;CH471130;BC000309;BC033106	NP_003123.2		2O05;2O06;2O07;2O0L;3RW9		P19623	112601			P19623	CHEMBL4232	DB00118							rs1049932	53682	ENST00000376957.7	6723	hsa:6723	SRM	11296	ENSG00000116649	182891	NX_P19623		PA36120	KOG1562	ENSGT00870000136521	CLU_048199_3_1_1	FLYHEMM	38125at2759	TF314466	MetaCyc:HS04027-MONOMER	2.5.1.16	R-HSA-351202		ENSG00000116649	cd02440		MF_00198	IPR030374;IPR030373;IPR029063;IPR001045;IPR030668;IPR035246;IPR037163	PTHR11558:SF11;PTHR11558	PF17284;PF01564	PIRSF000502		PS01330;PS51006		SSF53335	1
SRXN1	Q9BYN0		PRO_0000211431	SRXN1	1.8.98.2	9606	UPI000000DC3B	17545	0005524;0005737;0005789;0005829;0006979;0016667;0032542;0034599	CCDS13005.1	AK312054;AL833944;AL121758;BC017001;BC032604;BC047707	NP_542763.1	Q9BYN0	1XW3;1XW4;1YZS;2B6F;2RII;3CYI;3HY2;7LJ1		Q9BYN0	126716		DIP-59836N	Q9BYN0										79670	ENST00000381962.4	140809	hsa:140809	SRXN1	16132	ENSG00000271303	617583	NX_Q9BYN0		PA25681	KOG3388	ENSGT00390000007832	CLU_124532_1_0_1	SQIRRPI	10023328at2759	TF300230		1.8.98.2	R-HSA-9818027	SRXN1	ENSG00000271303	cd16395			IPR003115;IPR036086;IPR016692	PTHR21348;PTHR21348:SF2		PIRSF017267			SM00470	SSF110849	20
ST3GAL1	Q11201		PRO_0000149253	ST3GAL1	2.4.3.2;2.4.3.4	9606	UPI00000015E1	21616;48260;18021;48248;48244;47560;48240;56208;56204	0000139;0002319;0003836;0006054;0006486;0006487;0008373;0010706;0016020;0016266;0018146;0019082;0032588;0036211;0047288;0070062;0097503;1905403;1990675;1990676;1990743	CCDS6373.1	L29555;L13972;AF059321;BC018357	NP_003024.1;NP_775479.1;XP_005251082.1;XP_006716680.1;XP_011515527.1;XP_016869225.1;XP_016869226.1;XP_047278061.1;XP_047278062.1;XP_054216992.1;XP_054216993.1;XP_054216994.1;XP_054216995.1				Q11201	112375			Q11201	CHEMBL3596074			GT29					rs116342938	58873	ENST00000521180.5;ENST00000522652.6;ENST00000648219.1	6482	hsa:6482	ST3GAL1	10862	ENSG00000008513	607187	NX_Q11201		PA35764	KOG2692	ENSGT00940000154725	CLU_032020_2_1_1	RPCSCHT	10264956at2759	TF354325	MetaCyc:HS00250-MONOMER	2.4.99.2;2.4.99.4	R-HSA-2022854;R-HSA-4085001;R-HSA-9683673;R-HSA-9694548;R-HSA-9694719;R-HSA-977068		ENSG00000008513	cd23980			IPR051757;IPR001675;IPR038578;IPR012163	PTHR46032;PTHR46032:SF6	PF00777	PIRSF005557					8
ST3GAL2	Q16842		PRO_0000149258	ST3GAL2	2.4.3.2;2.4.3.4	9606	UPI0000001C5C	21616;48260;18021;48248;48244;47560;48240;47572;65372	0000139;0003836;0005576;0006486;0006688;0008373;0009101;0009247;0009312;0010706;0010707;0016020;0016266;0018146;0019082;0030259;0032580;0042803;0047288;0097503;1990743	CCDS10890.1	U63090;X96667;BC036777	NP_008858.1				Q16842	112376			Q16842				GT29						61098	ENST00000342907.3;ENST00000393640.8	6483	hsa:6483	ST3GAL2	10863	ENSG00000157350	607188	NX_Q16842		PA35765	KOG2692	ENSGT00940000156356	CLU_032020_2_0_1	CSLRFWF	10264956at2759	TF354325	MetaCyc:HS08206-MONOMER	2.4.99.2	R-HSA-2022854;R-HSA-4085001;R-HSA-9683673;R-HSA-9694548;R-HSA-9694719;R-HSA-977068;R-HSA-9840309		ENSG00000157350	cd23979			IPR051757;IPR001675;IPR038578;IPR012163	PTHR46032;PTHR46032:SF4	PF00777	PIRSF005557					16
STEAP3	Q658P3	Q658P3-1;Q658P3-2;Q658P3-3;Q658P3-4	PRO_0000285171	STEAP3	1.16.1.-	9606	UPI000000D8FA	71767;71771	0005737;0005768;0005771;0005886;0006826;0006915;0008823;0009306;0010008;0015677;0020037;0042802;0046872;0052851;0071949	CCDS2125.1;CCDS42738.1	AY214461;AF423424;AF238864;AF262322;AY029585;AY082673;AK001691;AK291608;AL833624;BX538047;AC016673;AC016736;CH471103;BC042150;BC095421	NP_001008410.1;NP_060704.2;NP_619543.2;NP_878919.2;XP_006712677.1;XP_006712678.1;XP_011509705.1;XP_047300851.1;XP_054198754.1;XP_054198755.1		2VNS;2VQ3		Q658P3	120533			Q658P3								5.B.6.1.1	rs17013371	65924;65925;65926;65927	ENST00000393106.6;ENST00000393107.2;ENST00000393110.7	55240	hsa:55240	STEAP3	24592	ENSG00000115107	609671;615234	NX_Q658P3	300298	PA142670863	ENOG502QRP3	ENSGT00390000008042	CLU_034618_1_1_1	WTLQMGP	550646at2759	TF332031			R-HSA-6803204;R-HSA-9013148;R-HSA-9013405;R-HSA-9013406;R-HSA-9013409;R-HSA-9035034;R-HSA-917977	STEAP3	ENSG00000115107				IPR013130;IPR036291;IPR028939;IPR051267	PTHR14239;PTHR14239:SF8	PF03807;PF01794					SSF51735	2
STK11	Q15831	Q15831-1;Q15831-2	PRO_0000086699	STK11	2.7.11.1	9606	UPI0000136105	17989;46608	0000287;0001558;0001894;0001944;0002039;0004674;0004676;0004677;0004679;0004694;0004711;0005524;0005634;0005654;0005737;0005739;0005813;0005829;0005929;0006468;0006470;0006914;0006974;0007165;0007283;0007409;0008285;0010212;0010508;0014823;0016020;0018107;0030010;0030018;0030111;0030275;0030295;0030308;0030511;0032147;0033762;0033993;0034504;0035175;0035402;0035403;0035979;0042593;0043276;0044022;0044023;0044024;0044025;0044877;0045059;0045722;0046777;0048814;0050772;0050852;0051645;0051726;0051896;0060767;0060770;0070062;0070314;0071493;0072332;0072354;0072371;0072518;0090090;0097066;0097484;0106310;0120163;0140535;0140823;0140855;0140857;1900182;1901610;1901796;1902554;1904262;1990244	CCDS45896.1	U63333;AF035625;AF032984;AF055327;AF055320;AF055321;AF055322;AF055323;AF055324;AF055325;AF055326;AK314858;AC011544;AC004221;CH471139;BC007981;BC019334	NP_000446.1;NP_001394184.1;XP_005259675.1		2WTK;4ZDR;5WXN;8VSU		Q15831	112670	CPX-2431;CPX-2845;CPX-2868;CPX-2869	DIP-31317N	Q15831	CHEMBL5606				IID00613				rs2145404557;rs2145404592;rs137853080;rs1599915144;rs137853077;rs1057520039;rs1568690463;rs764449808;rs137853081;rs2145424124;rs2145424155;rs137853078;rs876659972;rs1599926499;rs730881979;rs1057520041;rs1568707668;rs121913315;rs121913316;rs121913317;rs730881981;rs1555738372;rs1057520038;rs1057520017;rs2080776621;rs2145425367;rs929783669;rs2145425398;rs137853082;rs1568709142;rs2145427076;rs1555738692;rs121913322;rs1555738724;rs1568710381;rs1057520042;rs1064795752;rs786202431;rs367807476;rs59912467;rs587782835	60780;60781	ENST00000326873.12;ENST00000585465.3;ENST00000652231.1	6794	hsa:6794	STK11	11389	ENSG00000118046	175200;273300;602216	NX_Q15831	2869	PA36198	KOG0583	ENSGT00940000158050	CLU_000288_1_2_1	AYHYGSE	68483at2759	TF105322		2.7.11.1	R-HSA-163680;R-HSA-380972;R-HSA-6804756;R-HSA-9614657	STK11	ENSG00000118046	cd14119			IPR011009;IPR039154;IPR000719;IPR017441;IPR008271	PTHR24346;PTHR24346:SF94	PF00069			PS00107;PS50011;PS00108	SM00220	SSF56112	19
STRADB	Q9C0K7	Q9C0K7-1;Q9C0K7-2;Q9C0K7-3	PRO_0000085617	STRADB		9606	UPI0000070BA5		0000902;0005524;0005634;0005737;0005829;0006611;0007254;0016235;0032147;0043539;1902554;2001240	CCDS2348.1;CCDS56161.1	AB038950;AY093697;AF116618;AK027637;AC007282;BC008302;BC090871	NP_001193793.1;NP_061041.2;XP_016859927.1				Q9C0K7	120668	CPX-2868;CPX-2869		Q9C0K7	CHEMBL4105756								rs35636836	80073;80074;80075	ENST00000194530.8;ENST00000392249.6	55437	hsa:55437	STRADB	13205	ENSG00000082146	607333	NX_Q9C0K7		PA24743	KOG0582	ENSGT00940000155390	CLU_000288_63_23_1	KNEMVFC	840771at2759	TF319817			R-HSA-380972	ALS2CR2	ENSG00000082146	cd08226			IPR011009;IPR000719;IPR047173	PTHR48014;PTHR48014:SF13	PF00069			PS50011		SSF56112	2
SYK	P43405	P43405-1;P43405-2	PRO_0000088165	SYK	2.7.10.2	9606	UPI000012E0DD	10596	0001525;0001775;0001784;0001945;0002092;0002223;0002250;0002281;0002283;0002366;0002554;0002752;0002862;0004672;0004674;0004713;0004715;0005102;0005178;0005524;0005634;0005737;0005829;0005886;0006468;0006606;0007159;0007229;0009887;0010543;0010803;0016170;0016301;0018108;0019370;0019722;0019815;0019901;0019902;0030168;0030183;0030593;0031334;0031623;0032009;0032481;0032725;0032733;0032735;0032752;0032753;0032755;0032757;0032760;0032765;0032928;0032930;0032991;0033630;0035325;0035556;0038063;0038095;0038096;0038156;0042101;0042169;0042492;0042742;0043274;0043303;0043306;0043313;0043366;0043410;0045087;0045579;0045588;0045780;0046638;0046641;0048514;0050764;0050850;0050853;0051090;0070372;0071226;0071396;0071404;0071639;0090237;0090330;0097110;0097190;0097242;0120162;1904263;1904646;1990858	CCDS47992.1;CCDS6688.1	Z29630;L28824;AL354862;BC001645;BC011399;BC002962;X73568	NP_001128524.1;NP_001167638.1;NP_001167639.1;NP_003168.2;XP_005252204.1;XP_011517248.1;XP_047279765.1;XP_047279766.1;XP_054219627.1;XP_054219628.1;XP_054219629.1		1A81;1CSY;1CSZ;1XBA;1XBB;1XBC;3BUW;3EMG;3FQE;3FQH;3FQS;3SRV;3TUB;3TUC;3TUD;3VF8;3VF9;4DFL;4DFN;4F4P;4FL1;4FL2;4FL3;4FYN;4FYO;4FZ6;4FZ7;4GFG;4I0R;4I0S;4I0T;4PUZ;4PV0;4PX6;4RSS;4RX7;4RX8;4RX9;4WNM;4XG2;4XG3;4XG4;4XG6;4XG7;4XG8;4XG9;4YJO;4YJP;4YJQ;4YJR;4YJS;4YJT;4YJU;4YJV;5C26;5C27;5CXH;5CXZ;5CY3;5GHV;5LMA;5LMB;5T68;5TIU;5TR6;5TT7;5Y5T;5Y5U;6HM6;6HM7;6SSB;6VOV;6ZC0;6ZCP;6ZCQ;6ZCR;6ZCS;6ZCU;6ZCX;6ZCY;7Q5T;7Q5U;7Q5W;7Q63;7SA7;8BI2;8RRQ;8RRZ;8WYW;8X5K	P43405	P43405	112717		DIP-253N	P43405	CHEMBL2599	DB07194;DB08361;DB08846;DB12121;DB12010;DB06834;DB02010;DB07159	2230		IID00714				rs16906862	55634;55635	ENST00000375746.1;ENST00000375747.5;ENST00000375751.8;ENST00000375754.9	6850	hsa:6850	SYK	11491	ENSG00000165025	600085;619381	NX_P43405		PA36273	ENOG502QT06	ENSGT00940000159053	CLU_000288_7_2_1	TIVGDHK	535945at2759	TF351629		2.7.10.2;2.7.12.1	R-HSA-114604;R-HSA-2029481;R-HSA-2029482;R-HSA-2029485;R-HSA-2424491;R-HSA-2454202;R-HSA-2730905;R-HSA-2871796;R-HSA-2871809;R-HSA-354192;R-HSA-5607764;R-HSA-5621480;R-HSA-9020558;R-HSA-912631;R-HSA-9664323;R-HSA-9664422;R-HSA-9674555;R-HSA-9679191;R-HSA-9705462;R-HSA-9706374;R-HSA-983695	Syk	ENSG00000165025	cd05116;cd10401;cd09938			IPR011009;IPR023420;IPR050198;IPR000719;IPR017441;IPR001245;IPR000980;IPR036860;IPR035838;IPR008266;IPR020635;IPR012234	PTHR24418	PF07714;PF00017	PIRSF000604	PR00401;PR00109	PS00107;PS50011;PS00109;PS50001	SM00252;SM00219	SSF56112;SSF55550	9
SYNJ1	O43426	O43426-1;O43426-2;O43426-4;O43426-5	PRO_0000209730	SYNJ1	3.1.3.36	9606	UPI0000206D91	22764	0003723;0004438;0004439;0005737;0005829;0006661;0006836;0007612;0012506;0016020;0016082;0016191;0030117;0030132;0034595;0034596;0043195;0043647;0043812;0043813;0046488;0046856;0048471;0048488;0048489;0052629;0052658;0061024;0097060;0098793;1904980	CCDS33540.3;CCDS54483.1	AF009039;AF009040;AB020717;AP000275;AP000276;AP000277;AP000278;AP000279;BC098395	NP_001153774.1;NP_001153778.1;NP_003886.3;NP_982271.2;NP_982271.3;XP_016883989.1;XP_047297005.1;XP_054180924.1		1W80;2DNR;2VJ0;7A0V		O43426	114388			O43426	CHEMBL4523136				IID00691				rs398122403;rs2254562;rs1060499619;rs1057524877;rs115683257;rs9980589;rs769099271;rs2230767	48937;48938;48939;48940	ENST00000357345.7;ENST00000674204.1;ENST00000674308.1;ENST00000674351.1	8867	hsa:8867	SYNJ1	11503	ENSG00000159082	604297;615530;617389	NX_O43426	391411;442835;2828	PA36285	KOG0566	ENSGT00940000157964		FERHMSM	1925875at2759		MetaCyc:HS08354-MONOMER		R-HSA-1660499;R-HSA-1855183;R-HSA-1855204;R-HSA-8856828		ENSG00000159082	cd09098;cd12719			IPR036691;IPR046985;IPR000300;IPR012677;IPR035979;IPR000504;IPR002013;IPR015047;IPR034971	PTHR11200;PTHR11200:SF158	PF08952;PF22669;PF02383			PS50102;PS50275	SM01165;SM00128	SSF56219;SSF54928	21
